film_id,animation_type,visual_style,frame_rate,render_technique,character_design_style,color_palette_type,animation_realism_level,hand_drawn_elements_present,motion_capture_used,stop_motion_used,ai_generated_elements_present,production_software,art_direction_tone,animation_award_won
50,Hybrid,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,FALSE
51,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
52,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Dreamlike,TRUE
53,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
54,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,RenderMan,Naturalistic,TRUE
55,3D,Realistic,48,PathTracing,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
56,3D,Realistic,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
57,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
58,2D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.7,TRUE,FALSE,FALSE,FALSE,Custom,Whimsical,TRUE
59,Hybrid,Realistic,24,Other,Proportional,Desaturated,0.95,FALSE,FALSE,FALSE,FALSE,Houdini,Naturalistic,TRUE
60,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
61,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,TRUE,Blender,Whimsical,FALSE
62,Hybrid,Realistic,24,Other,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
63,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
64,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
65,3D,Realistic,48,PathTracing,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
66,3D,Stylized,24,Rasterization,Abstract,Vibrant,0.8,FALSE,FALSE,FALSE,TRUE,Unity,Whimsical,FALSE
67,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Dreamlike,TRUE
68,Hybrid,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Naturalistic,TRUE
69,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
70,3D,Realistic,48,PathTracing,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
71,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
72,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
73,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Naturalistic,TRUE
74,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
75,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
76,3D,Realistic,24,Other,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
77,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
78,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
79,3D,Realistic,24,Other,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
80,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
81,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
82,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
83,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
84,Hybrid,Realistic,24,Other,Proportional,Desaturated,0.95,FALSE,FALSE,FALSE,FALSE,Maya,Naturalistic,TRUE
85,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Dark,TRUE
86,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
87,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
88,3D,Realistic,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,FALSE
89,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
90,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,TRUE,Maya,Ep ic,FALSE
91,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
92,3D,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
93,3D,Realistic,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,FALSE
94,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
95,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
96,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
97,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Blender,Naturalistic,TRUE
98,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,FALSE
99,3D,Stylized,24,Rasterization,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
100,3D,Realistic,24,Hybrid,Proportional,Cold,0.95,FALSE,FALSE,FALSE,FALSE,Maya,Dreamlike,TRUE
101,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
102,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
103,3D,Realistic,24,Other,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Other,Ep ic,TRUE
104,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
105,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
106,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,TRUE
107,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
108,Hybrid,Naturalistic,24,Other,Proportional,Warm,0.8,FALSE,FALSE,FALSE,FALSE,Other,Naturalistic,TRUE
109,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
110,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
111,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
112,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
113,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
114,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Naturalistic,FALSE
115,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,TRUE
116,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
117,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
118,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
119,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,FALSE,FALSE,FALSE,Custom,Ep ic,TRUE
120,3D,Stylized,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Dark,TRUE
121,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
122,3D,Realistic,24,Other,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Other,Dark,TRUE
123,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
124,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
125,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
126,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Naturalistic,TRUE
127,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
128,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Dreamlike,TRUE
129,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
130,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
131,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Unreal,Dreamlike,FALSE
132,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
133,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
134,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
135,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
136,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Blender,Ep ic,TRUE
137,3D,Stylized,24,Other,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Futuristic,TRUE
138,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
139,3D,Realistic,24,RayTracing,Proportional,Vibrant,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,FALSE
140,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
141,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
142,3D,Realistic,24,PathTracing,Proportional,Desaturated,0.95,FALSE,FALSE,FALSE,FALSE,Houdini,Ep ic,TRUE
143,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
144,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
145,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Dark,TRUE
146,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
147,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,TRUE
148,3D,Stylized,24,Rasterization,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
149,Hybrid,Stylized,24,Rasterization,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Dark,TRUE
150,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,TRUE
151,3D,Stylized,24,Hybrid,Exaggerated,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Custom,Whimsical,TRUE
152,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,TRUE
153,3D,Stylized,24,Rasterization,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
154,3D,Realistic,24,PathTracing,Proportional,Cold,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Dreamlike,TRUE
155,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
156,3D,Stylized,24,Rasterization,Proportional,Desaturated,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
157,Hybrid,Naturalistic,24,Other,Proportional,Warm,0.9,FALSE,FALSE,FALSE,FALSE,Other,Naturalistic,TRUE
158,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Dark,TRUE
159,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Dreamlike,TRUE
160,Hybrid,Realistic,24,Other,Proportional,Desaturated,0.9,FALSE,FALSE,FALSE,FALSE,Other,Dark,TRUE
161,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
162,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
163,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
164,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
165,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dreamlike,FALSE
166,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
167,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
168,3D,Realistic,24,Hybrid,Proportional,Cold,0.95,FALSE,FALSE,FALSE,FALSE,Houdini,Naturalistic,TRUE
169,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
170,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
171,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Dark,FALSE
172,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
173,3D,Realistic,24,PathTracing,Proportional,Desaturated,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Dreamlike,TRUE
174,2D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,TRUE,FALSE,FALSE,FALSE,Custom,Ep ic,TRUE
175,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,FALSE
176,Hybrid,Stylized,24,Rasterization,Proportional,Warm,0.85,FALSE,FALSE,FALSE,FALSE,Unreal,Whimsical,TRUE
177,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
178,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
179,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
180,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
181,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,TRUE,Maya,Ep ic,FALSE
182,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
183,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
184,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,TRUE
185,3D,Realistic,24,Other,Proportional,Desaturated,0.95,FALSE,FALSE,FALSE,FALSE,Other,Dark,TRUE
186,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
187,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Dreamlike,TRUE
188,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
189,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,TRUE,Maya,Ep ic,FALSE
190,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
191,3D,Stylized,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
192,3D,Realistic,24,Hybrid,Proportional,Cold,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Futuristic,TRUE
193,3D,Realistic,24,Other,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
194,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,FALSE
195,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
196,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Naturalistic,TRUE
197,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Houdini,Naturalistic,TRUE
198,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,TRUE,Houdini,Ep ic,FALSE
199,3D,Stylized,24,Other,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Other,Whimsical,TRUE
200,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Whimsical,FALSE
201,3D,Realistic,24,Hybrid,Proportional,Desaturated,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,FALSE
202,3D,Stylized,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
