soundtrack_id,film_id,track_title,composer_name,performer_name,is_main_theme,music_genres,vocal_presence,cultural_instrument_usage,diegetic,track_emotional_intensity,scene_usage_type,award_won
29,10,As the Jurassic World Turns,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.75,transition,FALSE
30,10,Our Rex Is Bigger Than Yours,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
31,11,Circle of Life,Hans Zimmer,Lebo M,TRUE,ethnic|orchestral,TRUE,TRUE,FALSE,0.95,intro,TRUE
32,11,He Lives in You,Hans Zimmer,Lebo M,FALSE,ethnic|pop,TRUE,TRUE,FALSE,0.9,other,FALSE
33,11,Spirit,Hans Zimmer,Beyoncé,FALSE,pop|romantic,TRUE,FALSE,FALSE,0.85,credits,FALSE
34,12,Avengers Assemble,Alan Silvestri,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,battle,FALSE
35,12,Helicarrier,Alan Silvestri,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
36,12,The Avengers,Alan Silvestri,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,credits,TRUE
37,13,See You Again,Charlie Puth,Wiz Khalifa,TRUE,pop|hiphop,TRUE,FALSE,FALSE,0.95,credits,TRUE
38,13,Get Low,Dillon Francis & DJ Snake,,FALSE,electronic|other,FALSE,FALSE,TRUE,0.85,other,FALSE
39,13,My Angel,Prince Royce,Prince Royce,FALSE,pop,TRUE,FALSE,FALSE,0.8,love,FALSE
40,14,Hold My Hand,Lady Gaga,Lady Gaga,TRUE,pop|rock,TRUE,FALSE,FALSE,0.95,credits,TRUE
41,14,Top Gun Anthem,Harold Faltermeyer,,FALSE,rock|orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
42,14,I Ain’t Worried,OneRepublic,OneRepublic,FALSE,pop,TRUE,FALSE,TRUE,0.8,other,FALSE
43,15,Into the Unknown,Kristen Anderson-Lopez & Robert Lopez,Idina Menzel,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.95,intro,TRUE
44,15,Show Yourself,Kristen Anderson-Lopez & Robert Lopez,Idina Menzel,FALSE,romantic|pop,TRUE,FALSE,FALSE,0.9,other,FALSE
45,15,All Is Found,Kristen Anderson-Lopez & Robert Lopez,Evan Rachel Wood,FALSE,folk,TRUE,TRUE,FALSE,0.85,other,FALSE
46,16,Dance the Night,Mark Ronson & Andrew Wyatt,Dua Lipa,FALSE,pop|disco,TRUE,FALSE,TRUE,0.9,other,FALSE
47,16,What Was I Made For?,Billie Eilish & Finneas,Billie Eilish,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.95,credits,TRUE
48,16,Barbie World,Nicki Minaj & Ice Spice,Nicki Minaj & Ice Spice,FALSE,hiphop|pop,TRUE,FALSE,TRUE,0.85,other,FALSE
49,17,Ultron-Twins,Christophe Beck,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.8,battle,FALSE
50,17,Avengers: Age of Ultron Theme,Christophe Beck,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
51,17,Hulkbuster,Christophe Beck,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
52,18,Peaches,Jack Black,Jack Black,TRUE,romantic|comedy,TRUE,FALSE,TRUE,0.9,other,TRUE
53,18,Super Mario Bros. Theme,Brian Tyler,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
54,18,Level Complete,Brian Tyler,,FALSE,electronic,FALSE,FALSE,FALSE,0.8,transition,FALSE
55,19,Deadpool & Wolverine Theme,Tyler Bates,,TRUE,rock|orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
56,19,Meta Mayhem,Tyler Bates,,FALSE,rock|electronic,FALSE,FALSE,FALSE,0.85,battle,FALSE
57,19,The Fourth Wall,Tyler Bates,,FALSE,rock|comedy,FALSE,FALSE,FALSE,0.8,other,FALSE
58,20,All the Stars,Kendrick Lamar & SZA,Kendrick Lamar & SZA,TRUE,hiphop|rnb,TRUE,FALSE,FALSE,0.95,credits,TRUE
59,20,Wakanda, Ludwig Göransson,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,intro,FALSE
60,20,Killmonger’s Theme,Ludwig Göransson,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.85,battle,FALSE
61,21,The Spark,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
62,21,The Supremacy,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,transition,FALSE
63,21,Main Theme,John Williams,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
64,22,Lily’s Theme,Alexandre Desplat,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,intro,FALSE
65,22,Statues,Alexandre Desplat,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
66,22,Severus and Lily,Alexandre Desplat,,TRUE,orchestral|romantic,FALSE,FALSE,FALSE,0.85,funeral,FALSE
67,23,This Title Makes Me Jurassic,Michael Giacchino,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
68,23,Volcano to Death,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
69,23,At Jurassic World's End Credits,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,credits,FALSE
70,24,Let It Go,Kristen Anderson-Lopez & Robert Lopez,Idina Menzel,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.95,other,TRUE
71,24,Do You Want to Build a Snowman?,Kristen Anderson-Lopez & Robert Lopez,Kirsten Bell,FALSE,romantic|pop,TRUE,FALSE,TRUE,0.9,other,FALSE
72,24,For the First Time in Forever,Kristen Anderson-Lopez & Robert Lopez,Kristen Bell,FALSE,pop,TRUE,FALSE,FALSE,0.85,love,FALSE
73,25,Beauty and the Beast,Alan Menken,Emma Thompson,TRUE,romantic|classical,TRUE,FALSE,FALSE,0.95,love,TRUE
74,25,Gaston,Alan Menken,Josh Gad,FALSE,comedy|musical,TRUE,FALSE,TRUE,0.85,other,FALSE
75,25,Evermore,Alan Menken,Dan Stevens,FALSE,romantic|musical,TRUE,FALSE,FALSE,0.9,other,FALSE
76,26,Consider Yourselves Undermined,Michael Giacchino,,FALSE,orchestral|jazz,FALSE,FALSE,FALSE,0.85,battle,FALSE
77,26,Incredits 2,Michael Giacchino,,TRUE,orchestral|jazz,FALSE,FALSE,FALSE,0.9,credits,FALSE
78,26,A Family of Supers,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,intro,FALSE
79,27,Can You Dig It,Brian Tyler,,TRUE,rock|orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
80,27,Attack on 10880 Malibu Point,Brian Tyler,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.85,battle,FALSE
81,27,Iron Man 3 Theme,Brian Tyler,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,credits,FALSE
82,28,Good Life,G-Eazy & Kehlani,G-Eazy & Kehlani,TRUE,hiphop|pop,TRUE,FALSE,TRUE,0.9,credits,FALSE
83,28,Hey Ma,Pitbull & J Balvin,Pitbull & J Balvin,FALSE,hiphop|latin,TRUE,TRUE,TRUE,0.85,other,FALSE
84,28,The Fate of the Furious Theme,Brian Tyler,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,battle,FALSE
85,29,Happy Together,The Turtles,The Turtles,FALSE,pop,TRUE,FALSE,TRUE,0.8,other,FALSE
86,29,Minions Through Time,Heitor Pereira,,TRUE,orchestral|comedy,FALSE,FALSE,FALSE,0.85,intro,FALSE
87,29,Revolution,Heitor Pereira,,FALSE,rock,FALSE,FALSE,FALSE,0.8,transition,FALSE
88,30,United We Stand,Henry Jackman,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
89,30,Civil War,Henry Jackman,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,battle,FALSE
90,30,Cap’s Choice,Henry Jackman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,other,FALSE
91,31,"Arthur,My Son",Rupert Gregson-Williams,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.85,intro,FALSE
92,31,Everything I Need,Rupert Gregson-Williams,Skylar Grey,TRUE,pop|romantic,TRUE,FALSE,FALSE,0.9,credits,FALSE
93,31,King of Atlantis,Rupert Gregson-Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
94,32,Far From Home Suite Home,Michael Giacchino,,TRUE,orchestral|rock,FALSE,FALSE,FALSE,0.9,intro,FALSE
95,32,Vacation,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.75,transition,FALSE
96,32,I Will Always Love You,Whitney Houston,Whitney Houston,FALSE,romantic|pop,TRUE,FALSE,TRUE,0.9,other,FALSE
97,33,Captain Marvel, Pinar Toprak,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
98,33,I’m Just a Girl,No Doubt,No Doubt,FALSE,rock|pop,TRUE,FALSE,TRUE,0.85,battle,FALSE
99,33,High Score,Pinar Toprak,,FALSE,electronic,FALSE,FALSE,FALSE,0.8,transition,FALSE
100,34,The Lighting of the Beacons,Howard Shore,,FALSE,orchestral,FALSE,TRUE,FALSE,0.9,transition,FALSE
101,34,The Return of the King,Howard Shore,,TRUE,orchestral,FALSE,TRUE,FALSE,0.95,intro,TRUE
102,34,Into the West,Howard Shore,Annie Lennox,FALSE,romantic|pop,TRUE,FALSE,FALSE,0.9,credits,TRUE
103,35,Arrival to Earth,Steve Jablonsky,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
104,35,Iridescent,Linkin Park,Linkin Park,FALSE,rock|electronic,TRUE,FALSE,FALSE,0.9,credits,FALSE
105,35,Battle,Steve Jablonsky,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
106,36,Skyfall,Thomas Newman,Adele,TRUE,romantic|jazz,TRUE,FALSE,FALSE,0.95,credits,TRUE
107,36,Komodo Dragon,Thomas Newman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
108,36,New Digs,Thomas Newman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
109,37,Autobots Reunite,Steve Jablonsky,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
110,37,Battle Cry,Steve Jablonsky & Imagine Dragons,Imagine Dragons,FALSE,rock|orchestral,TRUE,FALSE,FALSE,0.9,battle,FALSE
111,37,Honor to the End,Steve Jablonsky,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,credits,FALSE
112,38,Imagine the Fire,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
113,38,Rise,Hans Zimmer,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,credits,FALSE
114,38,Gotham’s Reckoning,Hans Zimmer,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
115,39,Bathroom Dance,Hildur Guðnadóttir,,FALSE,orchestral|ambient,FALSE,FALSE,FALSE,0.85,other,TRUE
116,39,Call Me Joker,Hildur Guðnadóttir,,TRUE,orchestral|ambient,FALSE,FALSE,FALSE,0.9,credits,TRUE
117,39,Smile,Jimmy Durante,Jimmy Durante,FALSE,jazz,TRUE,FALSE,TRUE,0.8,other,FALSE
118,40,I Can’t Let You Throw Yourself Away,Randy Newman,Randy Newman,TRUE,pop|comedy,TRUE,FALSE,FALSE,0.9,credits,FALSE
119,40,Operation Pull Toy,Randy Newman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
120,40,You’ve Got a Friend in Me,Randy Newman,Randy Newman,FALSE,pop|jazz,TRUE,FALSE,TRUE,0.95,other,FALSE
121,41,The Rise of Skywalker,John Williams,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
122,41,Anthem of Evil,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
123,41,Finale,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.95,credits,FALSE
124,42,We Belong Together,Randy Newman,Randy Newman,TRUE,pop|romantic,TRUE,FALSE,FALSE,0.9,credits,TRUE
125,42,So Long,Randy Newman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,funeral,FALSE
126,42,You’ve Got a Friend in Me,Randy Newman,Randy Newman,FALSE,pop|jazz,TRUE,FALSE,TRUE,0.95,other,FALSE
127,43,Jack Sparrow Theme,Hans Zimmer,,TRUE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,intro,FALSE
128,43,The Kraken,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
129,43,Jack’s Arrival,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
130,44,We Know the Way,Lin-Manuel Miranda & Opetaia Foa’i,Opetaia Foa’i,TRUE,ethnic|pop,TRUE,TRUE,FALSE,0.9,intro,FALSE
131,44,How Far I’ll Go,Lin-Manuel Miranda,Auli’i Cravalho,FALSE,romantic|pop,TRUE,FALSE,FALSE,0.95,other,TRUE
132,44,Battle of the Waves,Lin-Manuel Miranda,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.85,battle,FALSE
133,45,Theme from Jurassic Park,John Williams,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,intro,TRUE
134,45,Journey to the Island,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,transition,FALSE
135,45,T-Rex Rescue & Finale,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
136,46,Your Father Would Be Proud,Michael Giacchino,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,funeral,FALSE
137,46,Hope,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,credits,FALSE
138,46,Jyn Erso & Hope Suite,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,intro,FALSE
139,47,Duel of the Fates,John Williams,,TRUE,orchestral|choral,FALSE,TRUE,FALSE,0.95,battle,TRUE
140,47,Anakin’s Theme,John Williams,,FALSE,orchestral|romantic,FALSE,FALSE,FALSE,0.85,other,FALSE
141,47,The Flag Parade,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
142,48,Mermaids,Hans Zimmer,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.85,other,FALSE
143,48,Angelica,Hans Zimmer,,FALSE,romantic|orchestral,FALSE,FALSE,FALSE,0.85,love,FALSE
144,48,End Credits,Hans Zimmer,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,credits,FALSE
145,49,A Whole New World,Alan Menken,Mena Massoud & Naomi Scott,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.95,love,TRUE
146,49,Friend Like Me,Alan Menken,Will Smith,FALSE,comedy|jazz,TRUE,FALSE,TRUE,0.9,other,FALSE
147,49,Speechless,Alan Menken,Naomi Scott,FALSE,romantic|pop,TRUE,FALSE,FALSE,0.9,other,TRUE
148,50,Hawaiian Roller Coaster Ride,Mark Keali'i Ho'omalu & Kamehameha Schools Children's Chorus,,TRUE,ethnic|pop,TRUE,TRUE,FALSE,0.95,intro,FALSE
149,50,Aloha ʻOe,Traditional,Lilo Cast Choir,FALSE,ethnic|folk,TRUE,TRUE,FALSE,0.85,funeral,FALSE
150,50,Ohana Means Family,Alan Silvestri,,FALSE,orchestral,FALSE,TRUE,FALSE,0.9,other,FALSE
151,51,Yellow Light,Pharrell Williams,Pharrell Williams,TRUE,pop|funk,TRUE,FALSE,TRUE,0.9,credits,FALSE
152,51,Hug Me,Pharrell Williams & Trey Parker,Trey Parker,FALSE,pop|comedy,TRUE,FALSE,TRUE,0.85,other,FALSE
153,51,Malatikal,Heitor Pereira,,FALSE,orchestral|comedy,FALSE,FALSE,FALSE,0.8,intro,FALSE
154,52,Alice’s Theme,Danny Elfman,,TRUE,orchestral|gothic,FALSE,FALSE,FALSE,0.9,intro,FALSE
155,52,The Mad Hatter,Danny Elfman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,other,FALSE
156,52,Who’s to Say,Avril Lavigne,Avril Lavigne,FALSE,pop|rock,TRUE,FALSE,FALSE,0.85,credits,FALSE
157,53,Finding Dory,Thomas Newman,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
158,53,Unforgettable,Irving Gordon,Sia,FALSE,jazz|pop,TRUE,FALSE,FALSE,0.85,credits,FALSE
159,53,Lost at Sea,Thomas Newman,,FALSE,ambient|orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
160,54,Try Everything,Shakira,Shakira,TRUE,pop|dance,TRUE,FALSE,FALSE,0.95,credits,TRUE
161,54,Zootopia Suite,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,intro,FALSE
162,54,Work Harder,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,other,FALSE
163,55,Over Hill,Howard Shore,,FALSE,orchestral|folk,FALSE,TRUE,FALSE,0.85,transition,FALSE
164,55,Misty Mountains,Howard Shore,Richard Armitage & The Dwarf Cast,TRUE,folk|ethnic,TRUE,TRUE,FALSE,0.95,intro,FALSE
165,55,The Adventure Begins,Howard Shore,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,other,FALSE
166,56,Why So Serious?,Hans Zimmer & James Newton Howard,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,battle,FALSE
167,56,Aggressive Expansion,Hans Zimmer & James Newton Howard,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,other,FALSE
168,56,A Dark Knight,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.95,credits,TRUE
169,57,Da Plane!,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,transition,FALSE
170,57,Jurassic World Dominion Theme,Michael Giacchino,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
171,57,The North Atlantic,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,battle,FALSE
172,58,Circle of Life,Hans Zimmer,Lebo M,TRUE,ethnic|orchestral,TRUE,TRUE,FALSE,0.95,intro,TRUE
173,58,Can You Feel the Love Tonight,Elton John,Elton John,FALSE,romantic|pop,TRUE,FALSE,FALSE,0.95,love,TRUE
174,58,Hakuna Matata,Hans Zimmer,Nathan Lane & Ernie Sabella,FALSE,pop|comedy,TRUE,FALSE,TRUE,0.85,other,FALSE
175,59,Can You Hear the Music,Ludwig Göransson,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,intro,TRUE
176,59,Fusion,Ludwig Göransson,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.85,transition,FALSE
177,59,Ground Zero,Ludwig Göransson,,FALSE,ambient,FALSE,FALSE,FALSE,0.8,other,FALSE
178,60,Happy,Pharrell Williams,Pharrell Williams,TRUE,pop|soul,TRUE,FALSE,TRUE,0.95,credits,TRUE
179,60,Fun,Pharrell Williams,Pharrell Williams,FALSE,pop|funk,TRUE,FALSE,FALSE,0.85,other,FALSE
180,60,Going Home,Heitor Pereira,,FALSE,orchestral|comedy,FALSE,FALSE,FALSE,0.8,intro,FALSE
181,61,Double Trouble,Pharrell Williams,Pharrell Williams,TRUE,pop|electronic,TRUE,FALSE,TRUE,0.9,credits,FALSE
182,61,Villainous Groove,Heitor Pereira,,FALSE,orchestral|funk,FALSE,FALSE,FALSE,0.85,other,FALSE
183,61,Family Plan,Pharrell Williams,Pharrell Williams,FALSE,pop,TRUE,FALSE,FALSE,0.85,other,FALSE
184,62,Hedwig’s Theme,John Williams,,TRUE,orchestral,FALSE,FALSE,FALSE,0.95,intro,TRUE
185,62,Leaving Hogwarts,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,credits,FALSE
186,62,Christmas at Hogwarts,John Williams,,FALSE,orchestral,FALSE,FALSE,TRUE,0.8,other,FALSE
187,63,Welcome to the Jungle,Henry Jackman,,TRUE,rock|orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
188,63,Mainframe Mayhem,Henry Jackman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
189,63,End Credits,Henry Jackman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,credits,FALSE
190,64,At World’s End Suite,Hans Zimmer,,TRUE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,intro,FALSE
191,64,Up Is Down,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,transition,FALSE
192,64,Drink Up Me Hearties Yo Ho,Hans Zimmer,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,credits,FALSE
193,65,Smaug,Hans Zimmer & Howard Shore,,FALSE,orchestral|ambient,FALSE,FALSE,FALSE,0.9,battle,FALSE
194,65,The Desolation of Smaug,Howard Shore,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
195,65,I See Fire,Howard Shore,Ed Sheeran,FALSE,folk|pop,TRUE,FALSE,FALSE,0.95,credits,TRUE
196,66,Mining Theme,Daniel Pemberton,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
197,66,Block by Block,Daniel Pemberton,,FALSE,electronic|ambient,FALSE,FALSE,FALSE,0.8,transition,FALSE
198,66,End Portal,Daniel Pemberton,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
199,67,Multiverse of Madness,Danny Elfman,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
200,67,Gargantos,Hans Zimmer,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
201,67,On the Run,Danny Elfman,,FALSE,orchestral|ambient,FALSE,FALSE,FALSE,0.8,transition,FALSE
202,68,The Bare Necessities,Terry Gilkyson,Bill Murray & Kermit Ruffins,FALSE,jazz|folk,TRUE,TRUE,TRUE,0.9,other,FALSE
203,68,Trust in Me,Richard M. Sherman & Robert B. Sherman,Scarlett Johansson,FALSE,pop|ambient,TRUE,FALSE,FALSE,0.85,other,FALSE
204,68,Jungle Book Suite,John Debney,,TRUE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,intro,FALSE
205,69,Obliviate,Alexandre Desplat,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
206,69,The Deathly Hallows,Alexandre Desplat,,FALSE,orchestral|ambient,FALSE,FALSE,FALSE,0.85,transition,FALSE
207,69,The Elder Wand,Alexandre Desplat,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
208,70,The Last Goodbye,Howard Shore,Billy Boyd,TRUE,folk|romantic,TRUE,FALSE,FALSE,0.95,credits,TRUE
209,70,Ironfoot,Howard Shore,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
210,70,Thorin’s Farewell,Howard Shore,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,funeral,FALSE
211,71,Born to Be Alive,Patrick Hernandez,Minions,FALSE,disco|pop,TRUE,FALSE,TRUE,0.85,other,FALSE
212,71,Turn Up the Sunshine,Jack Antonoff & Diana Ross,Diana Ross & Tame Impala,TRUE,pop|funk,TRUE,FALSE,FALSE,0.95,credits,FALSE
213,71,Despicable Boogie,Heitor Pereira,,FALSE,orchestral|funk,FALSE,FALSE,FALSE,0.85,intro,FALSE
214,72,Fireworks,Nicholas Hooper,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,transition,FALSE
215,72,Flight of the Order,Nicholas Hooper,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
216,72,Dumbledore’s Army,Nicholas Hooper,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,other,FALSE
217,73,Nemo Egg (Main Title),Thomas Newman,,TRUE,orchestral|ambient,FALSE,FALSE,FALSE,0.9,intro,FALSE
218,73,Swim Down,Thomas Newman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,battle,FALSE
