film_id,film_name,release_year,genre,film_duration,film_country,film_language,film_budget,film_box_office,film_votes_count,film_release_platform,film_name_word_count,film_age_rating,film_awards_count,studio_name
98,Transformers: Revenge of the Fallen,2009,Action|Adventure|Sci-Fi,149,USA,en,200000000,836303693,9700000,Cinema,5,PG-13,1,Paramount Pictures
99,The Twilight Saga: Breaking Dawn Part 2,2012,Adventure|Drama|Fantasy,115,USA,en,120000000,829746820,8000000,Cinema,6,PG-13,1,Summit Entertainment
100,Inception,2010,Action|Adventure|Sci-Fi,148,USA|UK,en,160000000,837468217,25000000,Cinema,1,PG-13,4,Warner Bros.
101,Spider-Man,2002,Action|Adventure|Fantasy,121,USA,en,139000000,825025036,16000000,Cinema,1,PG-13,2,Columbia Pictures
102,Wonder Woman,2017,Action|Adventure|Fantasy,141,USA,en,150000000,822854286,9700000,Cinema,2,PG-13,3,Warner Bros.
103,Independence Day,1996,Action|Adventure|Sci-Fi,145,USA,en,75000000,817400878,12000000,Cinema,2,PG-13,1,20th Century Fox
104,Fantastic Beasts and Where to Find Them,2016,Adventure|Family|Fantasy,132,UK|USA,en,180000000,814037575,8600000,Cinema,6,PG-13,2,Warner Bros.
105,Wolf Warrior 2 (战狼2),2017,Action|War|Thriller,123,China,zh,30000000,870325439,700000,Cinema,3,NR,3,Beijing Culture
106,The Battle at Lake Changjin,2021,Action|Drama|War,176,China,zh,200000000,902000000,400000,Cinema,6,NR,5,China Film Group
107,Shrek the Third,2007,Animation|Adventure|Comedy,93,USA,en,160000000,813367380,11000000,Cinema,3,PG,2,DreamWorks Animation
108,E.T. the Extra-Terrestrial,1982,Adventure|Family|Sci-Fi,115,USA,en,10500000,792910554,17000000,Cinema,4,PG,4,Universal Pictures
109,Spider-Man 2,2004,Action|Adventure|Fantasy,127,USA,en,200000000,788976453,16000000,Cinema,2,PG-13,3,Columbia Pictures
110,Coco,2017,Animation|Adventure|Family,105,USA,en,175000000,814337597,9000000,Cinema,1,PG,13,Pixar Animation Studios
111,Pirates of the Caribbean: Dead Men Tell No Tales,2017,Action|Adventure|Fantasy,129,USA,en,230000000,794861794,7500000,Cinema,7,PG-13,1,Walt Disney Pictures
112,Jumanji: The Next Level,2019,Action|Adventure|Comedy,123,USA,en,125000000,801693929,8700000,Cinema,4,PG-13,2,Columbia Pictures
113,Fast and Furious 6,2013,Action|Adventure|Crime,130,USA,en,160000000,789300000,8800000,Cinema,4,PG-13,1,Universal Pictures
114,Indiana Jones and the Kingdom of the Crystal Skull,2008,Action|Adventure,122,USA,en,185000000,790653942,12000000,Cinema,8,PG-13,1,Paramount Pictures
115,Mission: Impossible—Fallout,2018,Action|Adventure|Thriller,147,USA,en,178000000,791657398,8800000,Cinema,3,PG-13,3,Paramount Pictures
116,Deadpool 2,2018,Action|Adventure|Comedy,119,USA,en,110000000,785896609,12000000,Cinema,2,R,2,20th Century Fox
117,Harry Potter and the Prisoner of Azkaban,2004,Adventure|Fantasy,142,UK|USA,en,130000000,797660766,11000000,Cinema,6,PG,4,Warner Bros.
118,Deadpool,2016,Action|Adventure|Comedy,108,USA,en,58000000,782836791,16000000,Cinema,1,R,4,20th Century Fox
119,Star Wars Ep. IV: A New Hope,1977,Action|Adventure|Sci-Fi,121,USA,en,11000000,775800000,14000000,Cinema,7,PG,6,Lucasfilm
120,The Batman,2022,Action|Crime|Drama,176,USA,en,185000000,772200000,9500000,Cinema,2,PG-13,4,Warner Bros.
121,Guardians of the Galaxy,2014,Action|Adventure|Comedy,121,USA,en,170000000,773350147,12000000,Cinema,4,PG-13,3,Marvel Studios
122,The Da Vinci Code,2006,Mystery|Thriller,149,USA,en,125000000,760006945,10000000,Cinema,4,PG-13,1,Columbia Pictures
123,The Hunger Games: Mockingjay – Part 1,2014,Action|Adventure|Sci-Fi,123,USA,en,125000000,755356711,8000000,Cinema,6,PG-13,2,Lionsgate
124,Thor: Love and Thunder,2022,Action|Adventure|Comedy,118,USA,en,250000000,760928081,6800000,Cinema,4,PG-13,1,Marvel Studios
125,Fast & Furious Presents: Hobbs & Shaw,2019,Action|Adventure|Comedy,137,USA,en,200000000,760732926,8500000,Cinema,6,PG-13,1,Universal Pictures
126,No Time to Die,2021,Action|Adventure|Thriller,163,UK|USA,en,250000000,774153007,7000000,Cinema,4,PG-13,3,Eon Productions
127,The Amazing Spider-Man,2012,Action|Adventure|Sci-Fi,136,USA,en,230000000,757930663,10000000,Cinema,3,PG-13,2,Columbia Pictures
128,Maleficent,2014,Adventure|Family|Fantasy,97,USA,en,180000000,758411779,9500000,Cinema,1,PG,2,Walt Disney Pictures
129,2012,2009,Action|Adventure|Sci-Fi,158,USA,en,200000000,769679473,8800000,Cinema,1,PG-13,1,Columbia Pictures
130,Shrek Forever After,2010,Animation|Adventure|Comedy,93,USA,en,165000000,752600867,9500000,Cinema,3,PG,1,DreamWorks Animation
131,Wicked,2024,Musical|Fantasy|Romance,160,USA,en,150000000,950000000,200000,Cinema,1,PG-13,0,Universal Pictures
132,Suicide Squad,2016,Action|Adventure|Fantasy,123,USA,en,175000000,747583431,11000000,Cinema,2,PG-13,1,Warner Bros.
133,X-Men: Days of Future Past,2014,Action|Adventure|Sci-Fi,132,USA,en,200000000,746045700,9700000,Cinema,5,PG-13,3,20th Century Fox
134,Madagascar 3: Europe’s Most Wanted,2012,Animation|Adventure|Comedy,93,USA,en,145000000,746921274,9000000,Cinema,5,PG,2,DreamWorks Animation
135,Monsters University,2013,Animation|Adventure|Comedy,104,USA,en,200000000,743559607,9500000,Cinema,2,G,2,Pixar Animation Studios
136,Ne Zha (哪吒之魔童降世),2019,Animation|Action|Fantasy,110,China,zh,20000000,742000000,600000,Cinema,5,PG,5,Beijing Enlight Pictures
137,The Matrix Reloaded,2003,Action|Sci-Fi,138,USA,en,150000000,738576929,14000000,Cinema,3,R,2,Warner Bros.
138,Up,2009,Animation|Adventure|Comedy,96,USA,en,175000000,735099082,10000000,Cinema,1,PG,5,Pixar Animation Studios
139,Mufasa: The Lion King,2024,Animation|Adventure|Drama,125,USA,en,260000000,980000000,300000,Cinema,3,PG,0,Walt Disney Pictures
140,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure|Family|Fantasy,150,UK|USA,en,180000000,745013115,11000000,Cinema,8,PG,2,Walt Disney Pictures
141,F9: The Fast Saga,2021,Action|Adventure|Crime,143,USA,en,200000000,726229501,7200000,Cinema,4,PG-13,1,Universal Pictures
142,Dune: Part Two,2024,Action|Adventure|Sci-Fi,166,USA,en,190000000,711800000,300000,Cinema,3,PG-13,6,Warner Bros.
143,Captain America: The Winter Soldier,2014,Action|Adventure|Sci-Fi,136,USA,en,170000000,714421503,11000000,Cinema,5,PG-13,3,Marvel Studios
144,Fast X,2023,Action|Adventure|Crime,141,USA,en,340000000,714600000,500000,Cinema,2,PG-13,1,Universal Pictures
145,Dawn of the Planet of the Apes,2014,Action|Drama|Sci-Fi,130,USA,en,170000000,710644566,9500000,Cinema,5,PG-13,3,20th Century Fox
146,The Amazing Spider-Man 2,2014,Action|Adventure|Sci-Fi,142,USA,en,255000000,709000000,9300000,Cinema,4,PG-13,1,Columbia Pictures
147,Transformers,2007,Action|Adventure|Sci-Fi,144,USA,en,150000000,709709780,14000000,Cinema,1,PG-13,3,Paramount Pictures
148,The Twilight Saga: Eclipse,2010,Adventure|Drama|Fantasy,124,USA,en,68000000,698491347,8500000,Cinema,5,PG-13,1,Summit Entertainment
149,It,2017,Horror|Thriller,135,USA,en,35000000,701842551,10000000,Cinema,1,R,4,Warner Bros.
150,Mission: Impossible—Ghost Protocol,2011,Action|Adventure|Thriller,132,USA,en,145000000,694713380,9300000,Cinema,3,PG-13,2,Paramount Pictures
151,Spider-Man: Across the Spider-Verse,2023,Animation|Action|Adventure,140,USA,en,100000000,690500000,500000,Cinema,4,PG,4,Sony Pictures Animation
152,Mission: Impossible—Rogue Nation,2015,Action|Adventure|Thriller,131,USA,en,150000000,688884651,9600000,Cinema,3,PG-13,3,Paramount Pictures
153,The Twilight Saga: New Moon,2009,Adventure|Drama|Fantasy,130,USA,en,50000000,711025481,8900000,Cinema,5,PG-13,1,Summit Entertainment
154,Gravity,2013,Drama|Sci-Fi|Thriller,91,UK|USA,en,100000000,723192705,13000000,Cinema,1,PG-13,7,Warner Bros.
155,Moana,2016,Animation|Adventure|Comedy,107,USA,en,150000000,687229889,8700000,Cinema,1,PG,2,Walt Disney Pictures
156,The Twilight Saga: Breaking Dawn – Part 1,2011,Adventure|Drama|Fantasy,117,USA,en,110000000,712205856,8700000,Cinema,7,PG-13,1,Summit Entertainment
157,Forrest Gump,1994,Drama|Romance,142,USA,en,55000000,678226133,24000000,Cinema,2,PG-13,6,Paramount Pictures
158,The Hunger Games,2012,Action|Adventure|Sci-Fi,142,USA,en,78000000,694394724,12000000,Cinema,3,PG-13,3,Lionsgate
159,Doctor Strange,2016,Action|Adventure|Fantasy,115,USA,en,165000000,677796076,11000000,Cinema,2,PG-13,3,Marvel Studios
160,The Sixth Sense,1999,Drama|Mystery|Thriller,107,USA,en,40000000,672806292,16000000,Cinema,3,PG-13,6,Buena Vista Pictures
161,Man of Steel,2013,Action|Adventure|Sci-Fi,143,USA,en,225000000,668045518,11000000,Cinema,3,PG-13,2,Warner Bros.
162,Kung Fu Panda 2,2011,Animation|Action|Adventure,91,USA,en,150000000,665692281,10000000,Cinema,4,PG,2,DreamWorks Animation
163,Justice League,2017,Action|Adventure|Sci-Fi,120,USA,en,300000000,657924295,9700000,Cinema,2,PG-13,1,Warner Bros.
164,Star Wars Ep. II: Attack of the Clones,2002,Action|Adventure|Sci-Fi,142,USA,en,115000000,653800000,13000000,Cinema,8,PG,3,Lucasfilm
165,Fantastic Beasts: The Crimes of Grindelwald,2018,Adventure|Family|Fantasy,134,UK|USA,en,200000000,654855901,8000000,Cinema,6,PG-13,2,Warner Bros.
166,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action|Adventure|Fantasy,143,USA,en,140000000,654264015,11000000,Cinema,8,PG-13,3,Walt Disney Pictures
167,Men in Black 3,2012,Action|Adventure|Comedy,106,USA,en,225000000,654213485,9800000,Cinema,3,PG-13,2,Columbia Pictures
168,The Martian,2015,Adventure|Drama|Sci-Fi,144,USA,en,108000000,654457036,12000000,Cinema,2,PG-13,7,20th Century Fox
169,Ice Age: The Meltdown,2006,Animation|Adventure|Comedy,91,USA,en,80000000,660940780,10000000,Cinema,4,PG,1,Blue Sky Studios
170,Big Hero 6,2014,Animation|Action|Adventure,102,USA,en,165000000,657827828,9500000,Cinema,3,PG,2,Walt Disney Pictures
171,The Hunger Games: Mockingjay – Part 2,2015,Action|Adventure|Sci-Fi,137,USA,en,160000000,653428261,8200000,Cinema,6,PG-13,2,Lionsgate
172,Thor: The Dark World,2013,Action|Adventure|Fantasy,112,USA,en,170000000,644783140,9500000,Cinema,4,PG-13,2,Marvel Studios
173,Interstellar,2014,Adventure|Drama|Sci-Fi,169,USA|UK,en,165000000,647190615,18000000,Cinema,1,PG-13,7,Paramount Pictures
174,Demon Slayer: The Movie – To the Hashira Training,2025,Animation|Action|Fantasy,118,Japan,ja,30000000,700000000,200000,Cinema,7,PG-13,0,Toho
175,How to Train Your Dragon,2025,Animation|Adventure|Family,112,USA,en,150000000,850000000,300000,Cinema,5,PG,0,DreamWorks Animation
176,Wonka,2023,Adventure|Comedy|Family,116,USA|UK,en,125000000,633000000,400000,Cinema,1,PG,2,Warner Bros.
177,Kung Fu Panda,2008,Animation|Action|Adventure,92,USA,en,130000000,631744560,14000000,Cinema,3,PG,3,DreamWorks Animation
178,The Incredibles,2004,Animation|Action|Adventure,115,USA,en,92000000,631607053,15000000,Cinema,2,PG,2,Pixar Animation Studios
179,Sing,2016,Animation|Comedy|Family,108,USA,en,75000000,634249947,9000000,Cinema,1,PG,2,Illumination Entertainment
180,Fast Five,2011,Action|Adventure|Crime,130,USA,en,125000000,626137675,9500000,Cinema,2,PG-13,2,Universal Pictures
181,F1: The Movie,2025,Action|Drama|Sport,135,USA,en,180000000,900000000,250000,Cinema,3,PG-13,0,Universal Pictures
182,Ratatouille,2007,Animation|Comedy|Family,111,USA,en,150000000,626700971,13000000,Cinema,1,G,2,Pixar Animation Studios
183,Hancock,2008,Action|Comedy|Drama,92,USA,en,150000000,629443428,10000000,Cinema,1,PG-13,1,Columbia Pictures
184,Ant-Man and the Wasp,2018,Action|Adventure|Comedy,118,USA,en,195000000,622674139,9000000,Cinema,4,PG-13,2,Marvel Studios
185,The Passion of the Christ,2004,Drama,127,USA,ar|la|he|it,30000000,612054564,2000000,Cinema,5,R,3,Icon Productions
186,Iron Man 2,2010,Action|Adventure|Sci-Fi,124,USA,en,200000000,621156389,12000000,Cinema,3,PG-13,2,Marvel Studios
187,Life of Pi,2012,Adventure|Drama|Fantasy,127,USA|Taiwan,en,120000000,609016565,11000000,Cinema,3,PG,4,20th Century Fox
188,The Lost World: Jurassic Park,1997,Action|Adventure|Sci-Fi,129,USA,en,73000000,618638999,13000000,Cinema,5,PG-13,2,Universal Pictures
189,Superman,2025,Action|Adventure|Sci-Fi,145,USA,en,200000000,950000000,200000,Cinema,1,PG-13,0,Warner Bros.
190,How to Train Your Dragon 2,2014,Animation|Action|Adventure,102,USA,en,145000000,621537519,9600000,Cinema,5,PG,2,DreamWorks Animation
191,Logan,2017,Action|Drama|Sci-Fi,137,USA,en,97000000,619179950,11000000,Cinema,1,R,4,20th Century Fox
