char_id,film_id,billing_order,char_name,actor_name,char_gender,char_fate,hero_or_villain,personality_traits,is_protagonist,screen_time_ratio,role_type,performance_type
26,5,2,Finn,John Boyega,M,alive,hero,loyal|nervous|moral,FALSE,0.15,lead,LiveAction
27,5,3,Kylo Ren / Ben Solo,Adam Driver,M,dead,villain,conflicted|angry|powerful,FALSE,0.20,villain,LiveAction
28,5,4,Han Solo,Harrison Ford,M,dead,hero,charismatic|reckless|experienced,FALSE,0.10,supporting,LiveAction
29,5,5,Leia Organa,Carrie Fisher,F,alive,hero,wise|compassionate|leader,FALSE,0.10,supporting,LiveAction
30,5,6,Poe Dameron,Oscar Isaac,M,alive,hero,confident|brave|sarcastic,FALSE,0.08,supporting,LiveAction
31,6,1,Tony Stark / Iron Man,Robert Downey Jr.,M,alive,hero,intelligent|sarcastic|brave,TRUE,0.14,lead,LiveAction
32,6,2,Thor,Chris Hemsworth,M,alive,hero,strong|humorous|confident,FALSE,0.12,lead,LiveAction
33,6,3,Steve Rogers / Captain America,Chris Evans,M,alive,hero,noble|determined|leader,FALSE,0.10,lead,LiveAction
34,6,4,Thanos,Josh Brolin,M,alive,villain,fanatical|ruthless|strategic,FALSE,0.12,villain,MotionCapture
35,6,5,Bruce Banner / Hulk,Mark Ruffalo,M,alive,hero,intelligent|reserved|awkward,FALSE,0.08,supporting,MotionCapture
36,6,6,Natasha Romanoff / Black Widow,Scarlett Johansson,F,alive,hero,skilled|serious|calm,FALSE,0.07,supporting,LiveAction
37,6,7,Doctor Strange,Benedict Cumberbatch,M,alive,hero,intellectual|stoic|courageous,FALSE,0.08,supporting,LiveAction
38,6,8,Peter Parker / Spider-Man,Tom Holland,M,dead,hero,young|curious|empathetic,FALSE,0.06,supporting,LiveAction
39,7,1,Ne Zha,Yang Yanduo,M,alive,hero,rebellious|brave|compassionate,TRUE,0.25,lead,Voice
40,7,2,Ao Bing,Li Lanling,M,alive,hero|neutral,loyal|conflicted|honorable,FALSE,0.18,lead,Voice
41,7,3,Shen Gongbao,,M,alive,villain,ambitious|cunning|power-seeking,FALSE,0.14,villain,Voice
42,7,4,Nezha’s Mother,Yang Man,F,alive,hero,kind|protective|gentle,FALSE,0.10,supporting,Voice
43,7,5,Nezha’s Father,Lu Qi,M,alive,hero|neutral,strict|dutiful|moral,FALSE,0.08,supporting,Voice
44,8,1,Peter Parker / Spider-Man,Tom Holland,M,alive,hero,brave|guilt-ridden|resourceful,TRUE,0.22,lead,LiveAction
45,8,2,Doctor Strange,Benedict Cumberbatch,M,alive,hero,intellectual|confident|strategic,FALSE,0.12,lead,LiveAction
46,8,3,MJ,Zendaya,F,alive,hero|neutral,intelligent|supportive|sarcastic,FALSE,0.10,supporting,LiveAction
47,8,4,Ned Leeds,Jacob Batalon,M,alive,hero|neutral,loyal|funny|naive,FALSE,0.08,supporting,LiveAction
48,8,5,Norman Osborn / Green Goblin,Willem Dafoe,M,alive,villain,manipulative|insane|brilliant,FALSE,0.14,villain,LiveAction
49,8,6,Otto Octavius / Doctor Octopus,Alfred Molina,M,alive,villain|redeemed,intelligent|conflicted|prideful,FALSE,0.10,villain,LiveAction
50,8,7,Peter Parker (Tobey Maguire),Tobey Maguire,M,alive,hero,wise|mature|kind,FALSE,0.08,supporting,LiveAction
51,8,8,Peter Parker (Andrew Garfield),Andrew Garfield,M,alive,hero,emotional|redemptive|witty,FALSE,0.08,supporting,LiveAction
52,9,1,Riley, ,F,alive,hero,optimistic|insecure|curious,TRUE,0.18,lead,Voice
53,9,2,Joy,Amy Poehler,F,alive,hero,cheerful|determined|supportive,FALSE,0.20,lead,Voice
54,9,3,Sadness,Phyllis Smith,F,alive,hero,empathetic|gentle|sincere,FALSE,0.12,supporting,Voice
55,9,4,Anxiety,Maya Hawke,F,alive,villain|neutral,anxious|overthinking|protective,FALSE,0.15,villain,Voice
56,9,5,Anger,Lewis Black,M,alive,hero|neutral,short-tempered|honest|passionate,FALSE,0.08,supporting,Voice
57,9,6,Disgust,Liza Lapira,F,alive,hero|neutral,sassy|cautious|observant,FALSE,0.07,supporting,Voice
58,9,7,Fear,Tony Hale,M,alive,hero|neutral,nervous|alert|caring,FALSE,0.07,supporting,Voice
59,10,1,Owen Grady,Chris Pratt,M,alive,hero,brave|resourceful|protective,TRUE,0.22,lead,LiveAction
60,10,2,Claire Dearing,Bryce Dallas Howard,F,alive,hero,determined|intelligent|responsible,FALSE,0.20,lead,LiveAction
61,10,3,Simon Masrani,Irrfan Khan,M,dead,hero|neutral,visionary|ambitious|optimistic,FALSE,0.08,supporting,LiveAction
62,10,4,Gray Mitchell,Ty Simpkins,M,alive,hero|neutral,curious|energetic|naive,FALSE,0.07,supporting,LiveAction
63,10,5,Zach Mitchell,Nick Robinson,M,alive,hero|neutral,caring|rebellious|protective,FALSE,0.07,supporting,LiveAction
64,10,6,Vic Hoskins,Vincent D’Onofrio,M,dead,villain,greedy|aggressive|opportunistic,FALSE,0.10,villain,LiveAction
65,10,7,Indominus Rex,,unknown,dead,villain,violent|predatory|unstable,FALSE,0.12,villain,MotionCapture
66,11,1,Simba,Donald Glover,M,alive,hero,brave|responsible|loyal,TRUE,0.20,lead,Voice
67,11,2,Nala,Beyoncé Knowles,F,alive,hero,strong|caring|confident,FALSE,0.15,lead,Voice
68,11,3,Mufasa,James Earl Jones,M,dead,hero,wise|noble|protective,FALSE,0.12,supporting,Voice
69,11,4,Scar,Chiwetel Ejiofor,M,dead,villain,jealous|cunning|ruthless,FALSE,0.15,villain,Voice
70,11,5,Timon,Billy Eichner,M,alive,hero|neutral,humorous|clever|loyal,FALSE,0.10,supporting,Voice
71,11,6,Pumbaa,Seth Rogen,M,alive,hero|neutral,funny|gentle|brave,FALSE,0.10,supporting,Voice
72,11,7,Rafiki,John Kani,M,alive,hero|neutral,wise|spiritual|mysterious,FALSE,0.08,supporting,Voice
73,12,1,Tony Stark / Iron Man,Robert Downey Jr.,M,alive,hero,intelligent|sarcastic|leader,TRUE,0.20,lead,LiveAction
74,12,2,Steve Rogers / Captain America,Chris Evans,M,alive,hero,brave|disciplined|honorable,FALSE,0.18,lead,LiveAction
75,12,3,Thor,Chris Hemsworth,M,alive,hero,strong|proud|humorous,FALSE,0.15,lead,LiveAction
76,12,4,Bruce Banner / Hulk,Mark Ruffalo,M,alive,hero|neutral,intelligent|reserved|angry,FALSE,0.10,supporting,MotionCapture
77,12,5,Natasha Romanoff / Black Widow,Scarlett Johansson,F,alive,hero,skilled|serious|empathetic,FALSE,0.10,supporting,LiveAction
78,12,6,Clint Barton / Hawkeye,Jeremy Renner,M,alive,hero,focused|loyal|protective,FALSE,0.08,supporting,LiveAction
79,12,7,Loki,Tom Hiddleston,M,alive,villain,manipulative|cunning|charismatic,FALSE,0.12,villain,LiveAction
80,13,1,Dominic Toretto,Vin Diesel,M,alive,hero,strong|loyal|determined,TRUE,0.22,lead,LiveAction
81,13,2,Brian O’Conner,Paul Walker,M,alive,hero,brave|calm|family-oriented,FALSE,0.20,lead,LiveAction
82,13,3,Letty Ortiz,Michelle Rodriguez,F,alive,hero,tough|fearless|devoted,FALSE,0.14,supporting,LiveAction
83,13,4,Deckard Shaw,Jason Statham,M,alive,villain|antihero,skilled|cold|vengeful,FALSE,0.12,villain,LiveAction
84,13,5,Roman Pearce,Tyrese Gibson,M,alive,hero|neutral,funny|talkative|brave,FALSE,0.08,supporting,LiveAction
85,13,6,Tej Parker,Ludacris,M,alive,hero|neutral,intelligent|tech-savvy|cool,FALSE,0.08,supporting,LiveAction
86,14,1,Pete “Maverick” Mitchell,Tom Cruise,M,alive,hero,fearless|experienced|defiant,TRUE,0.25,lead,LiveAction
87,14,2,Bradley “Rooster” Bradshaw,Miles Teller,M,alive,hero|neutral,determined|emotional|loyal,FALSE,0.18,lead,LiveAction
88,14,3,Penny Benjamin,Jennifer Connelly,F,alive,hero|neutral,charming|independent|kind,FALSE,0.10,supporting,LiveAction
89,14,4,Tom “Iceman” Kazansky,Val Kilmer,M,dead,hero,wise|respected|calm,FALSE,0.06,supporting,LiveAction
90,14,5,Hangman,Glen Powell,M,alive,hero|neutral,competitive|confident|bold,FALSE,0.10,supporting,LiveAction
91,15,1,Elsa,Idina Menzel,F,alive,hero,powerful|reserved|caring,TRUE,0.25,lead,Voice
92,15,2,Anna,Kristen Bell,F,alive,hero,optimistic|determined|brave,FALSE,0.22,lead,Voice
93,15,3,Kristoff,Jonathan Groff,M,alive,hero|neutral,loyal|awkward|kind,FALSE,0.10,supporting,Voice
94,15,4,Olaf,Josh Gad,M,alive,hero|neutral,innocent|funny|warm,FALSE,0.08,supporting,Voice
95,15,5,Honeymaren,Rachel Matthews,F,alive,hero|neutral,confident|free-spirited|kind,FALSE,0.06,supporting,Voice
96,16,1,Barbie,Margot Robbie,F,alive,hero,curious|optimistic|reflective,TRUE,0.25,lead,LiveAction
97,16,2,Ken,Ryan Gosling,M,alive,hero|neutral,naive|insecure|charming,FALSE,0.20,lead,LiveAction
98,16,3,Gloria,America Ferrera,F,alive,hero|neutral,wise|emotional|supportive,FALSE,0.10,supporting,LiveAction
99,16,4,Sasha,Ariana Greenblatt,F,alive,hero|neutral,rebellious|honest|curious,FALSE,0.08,supporting,LiveAction
100,16,5,Mattel CEO,Will Ferrell,M,alive,villain|comic,arrogant|silly|controlling,FALSE,0.10,villain,LiveAction
101,17,1,Tony Stark / Iron Man,Robert Downey Jr.,M,alive,hero,intelligent|sarcastic|determined,TRUE,0.20,lead,LiveAction
102,17,2,Steve Rogers / Captain America,Chris Evans,M,alive,hero,brave|noble|disciplined,FALSE,0.15,lead,LiveAction
103,17,3,Thor,Chris Hemsworth,M,alive,hero,confident|funny|powerful,FALSE,0.12,lead,LiveAction
104,17,4,Bruce Banner / Hulk,Mark Ruffalo,M,alive,hero|neutral,smart|awkward|kind,FALSE,0.10,supporting,MotionCapture
105,17,5,Natasha Romanoff / Black Widow,Scarlett Johansson,F,alive,hero,skilled|empathetic|serious,FALSE,0.08,supporting,LiveAction
106,17,6,Clint Barton / Hawkeye,Jeremy Renner,M,alive,hero|neutral,focused|dedicated|brave,FALSE,0.07,supporting,LiveAction
107,17,7,Ultron,James Spader,M,dead,villain,intelligent|manipulative|nihilistic,FALSE,0.13,villain,Voice
108,18,1,Mario,Chris Pratt,M,alive,hero,brave|determined|optimistic,TRUE,0.20,lead,Voice
109,18,2,Luigi,Charlie Day,M,alive,hero|neutral,anxious|loyal|caring,FALSE,0.15,lead,Voice
110,18,3,Princess Peach,Anya Taylor-Joy,F,alive,hero,strong|strategic|kind,FALSE,0.15,lead,Voice
111,18,4,Bowser,Jack Black,M,alive,villain,domineering|jealous|dramatic,FALSE,0.15,villain,Voice
112,18,5,Toad,Keegan-Michael Key,M,alive,hero|neutral,cheerful|helpful|brave,FALSE,0.10,supporting,Voice
113,18,6,Donkey Kong,Seth Rogen,M,alive,hero|neutral,prideful|funny|strong,FALSE,0.10,supporting,Voice
114,19,1,Wade Wilson / Deadpool,Ryan Reynolds,M,alive,hero|antihero,sarcastic|reckless|funny,TRUE,0.25,lead,LiveAction
115,19,2,Logan / Wolverine,Hugh Jackman,M,alive,hero|antihero,gruff|stoic|brave,FALSE,0.22,lead,LiveAction
116,19,3,Cassandra Nova,Emma Corrin,F,alive,villain,manipulative|cunning|powerful,FALSE,0.15,villain,LiveAction
117,19,4,Elektra Natchios,Jennifer Garner,F,alive,hero|neutral,skilled|fearless|calm,FALSE,0.08,supporting,LiveAction
118,19,5,Colossus,Stefan Kapicic,M,alive,hero|neutral,disciplined|kind|loyal,FALSE,0.08,supporting,MotionCapture
119,20,1,T’Challa / Black Panther,Chadwick Boseman,M,alive,hero,noble|wise|brave,TRUE,0.22,lead,LiveAction
120,20,2,Erik Killmonger,Michael B. Jordan,M,dead,villain,vengeful|charismatic|angry,FALSE,0.15,villain,LiveAction
121,20,3,Shuri,Letitia Wright,F,alive,hero,intelligent|innovative|playful,FALSE,0.12,supporting,LiveAction
122,20,4,Nakia,Lupita Nyong’o,F,alive,hero|neutral,compassionate|independent|loyal,FALSE,0.10,supporting,LiveAction
123,20,5,Okoye,Danai Gurira,F,alive,hero|neutral,disciplined|fierce|loyal,FALSE,0.10,supporting,LiveAction
124,20,6,T’Chaka,John Kani,M,dead,hero|neutral,wise|just|regal,FALSE,0.08,supporting,LiveAction
125,21,1,Rey,Daisy Ridley,F,alive,hero,brave|curious|compassionate,TRUE,0.22,lead,LiveAction
126,21,2,Luke Skywalker,Mark Hamill,M,dead,hero|neutral,wise|conflicted|powerful,FALSE,0.18,lead,LiveAction
127,21,3,Kylo Ren / Ben Solo,Adam Driver,M,alive,villain|conflicted,angry|emotional|ambitious,FALSE,0.18,villain,LiveAction
128,21,4,Leia Organa,Carrie Fisher,F,alive,hero|neutral,wise|calm|strong,FALSE,0.10,supporting,LiveAction
129,21,5,Finn,John Boyega,M,alive,hero|neutral,loyal|determined|brave,FALSE,0.08,supporting,LiveAction
130,21,6,Poe Dameron,Oscar Isaac,M,alive,hero|neutral,confident|reckless|courageous,FALSE,0.08,supporting,LiveAction
131,22,1,Harry Potter,Daniel Radcliffe,M,alive,hero,brave|loyal|selfless,TRUE,0.25,lead,LiveAction
132,22,2,Hermione Granger,Emma Watson,F,alive,hero,intelligent|brave|rational,FALSE,0.18,lead,LiveAction
133,22,3,Ron Weasley,Rupert Grint,M,alive,hero|neutral,loyal|humorous|caring,FALSE,0.15,lead,LiveAction
134,22,4,Lord Voldemort,Ralph Fiennes,M,dead,villain,ruthless|power-hungry|cruel,FALSE,0.15,villain,LiveAction
135,22,5,Neville Longbottom,Matthew Lewis,M,alive,hero|neutral,brave|modest|loyal,FALSE,0.07,supporting,LiveAction
136,22,6,Severus Snape,Alan Rickman,M,dead,hero|neutral,complex|sacrificial|intelligent,FALSE,0.10,supporting,LiveAction
137,23,1,Owen Grady,Chris Pratt,M,alive,hero,brave|protective|strategic,TRUE,0.22,lead,LiveAction
138,23,2,Claire Dearing,Bryce Dallas Howard,F,alive,hero|neutral,determined|resourceful|caring,FALSE,0.20,lead,LiveAction
139,23,3,Maisie Lockwood,Isabella Sermon,F,alive,hero|neutral,curious|innocent|empathetic,FALSE,0.10,supporting,LiveAction
140,23,4,Eli Mills,Rafe Spall,M,dead,villain,greedy|manipulative|ruthless,FALSE,0.12,villain,LiveAction
141,23,5,Franklin Webb,Justice Smith,M,alive,hero|neutral,anxious|intelligent|nervous,FALSE,0.08,supporting,LiveAction
142,23,6,Zia Rodriguez,Daniella Pineda,F,alive,hero|neutral,brave|skilled|ethical,FALSE,0.08,supporting,LiveAction
143,24,1,Elsa,Idina Menzel,F,alive,hero,powerful|reserved|loving,TRUE,0.25,lead,Voice
144,24,2,Anna,Kristen Bell,F,alive,hero,optimistic|caring|brave,FALSE,0.22,lead,Voice
145,24,3,Kristoff,Jonathan Groff,M,alive,hero|neutral,loyal|awkward|kind,FALSE,0.10,supporting,Voice
146,24,4,Olaf,Josh Gad,M,alive,hero|neutral,innocent|humorous|friendly,FALSE,0.08,supporting,Voice
147,24,5,Hans,Santino Fontana,M,alive,villain,deceptive|charming|selfish,FALSE,0.12,villain,Voice
148,25,1,Belle,Emma Watson,F,alive,hero,intelligent|kind|curious,TRUE,0.25,lead,LiveAction
149,25,2,Beast,Prince Dan Stevens,M,alive,hero,proud|redeemed|gentle,FALSE,0.20,lead,MotionCapture
150,25,3,Gaston,Luke Evans,M,dead,villain,arrogant|manipulative|selfish,FALSE,0.15,villain,LiveAction
151,25,4,Lefou,Josh Gad,M,alive,hero|neutral,loyal|funny|insecure,FALSE,0.08,supporting,LiveAction
152,25,5,Maurice,Kevin Kline,M,alive,hero|neutral,creative|loving|gentle,FALSE,0.08,supporting,LiveAction
153,26,1,Bob Parr / Mr. Incredible,Craig T. Nelson,M,alive,hero,strong|protective|determined,TRUE,0.22,lead,Voice
154,26,2,Helen Parr / Elastigirl,Holly Hunter,F,alive,hero,intelligent|brave|flexible,FALSE,0.20,lead,Voice
155,26,3,Violet Parr,Sarah Vowell,F,alive,hero|neutral,shy|smart|kind,FALSE,0.10,supporting,Voice
156,26,4,Dash Parr,Huck Milner,M,alive,hero|neutral,energetic|mischievous|loyal,FALSE,0.08,supporting,Voice
157,26,5,Evelyn Deavor,Catherine Keener,F,alive,villain,cunning|bitter|intelligent,FALSE,0.15,villain,Voice
158,26,6,Lucius Best / Frozone,Samuel L. Jackson,M,alive,hero|neutral,chill|supportive|cool,FALSE,0.08,supporting,Voice
159,27,1,Tony Stark / Iron Man,Robert Downey Jr.,M,alive,hero,intelligent|sarcastic|troubled,TRUE,0.25,lead,LiveAction
160,27,2,Pepper Potts,Gwyneth Paltrow,F,alive,hero|neutral,loyal|caring|strong,FALSE,0.12,supporting,LiveAction
161,27,3,James Rhodes,Don Cheadle,M,alive,hero|neutral,disciplined|brave|loyal,FALSE,0.10,supporting,LiveAction
162,27,4,Maya Hansen,Rebecca Hall,F,dead,neutral,intelligent|ambitious|regretful,FALSE,0.08,supporting,LiveAction
163,27,5,Aldrich Killian,Guy Pearce,M,dead,villain,vengeful|brilliant|deceptive,FALSE,0.15,villain,LiveAction
164,27,6,The Mandarin / Trevor Slattery,Ben Kingsley,M,alive,villain|comic,pretentious|confused|charismatic,FALSE,0.10,villain,LiveAction
165,28,1,Dominic Toretto,Vin Diesel,M,alive,hero,strong|loyal|strategic,TRUE,0.22,lead,LiveAction
166,28,2,Letty Ortiz,Michelle Rodriguez,F,alive,hero,tough|fearless|devoted,FALSE,0.15,lead,LiveAction
167,28,3,Hobbs,Dwayne Johnson,M,alive,hero|neutral,confident|disciplined|brave,FALSE,0.12,supporting,LiveAction
168,28,4,Deckard Shaw,Jason Statham,M,alive,hero|neutral,skilled|cold|redeemed,FALSE,0.10,supporting,LiveAction
169,28,5,Cipher,Charlize Theron,F,alive,villain,intelligent|ruthless|calculating,FALSE,0.15,villain,LiveAction
170,28,6,Roman Pearce,Tyrese Gibson,M,alive,hero|neutral,funny|talkative|loyal,FALSE,0.08,supporting,LiveAction
171,29,1,Kevin,Pierre Coffin,M,alive,hero|neutral,brave|loyal|curious,TRUE,0.20,lead,Voice
172,29,2,Stuart,Pierre Coffin,M,alive,hero|neutral,lazy|funny|friendly,FALSE,0.15,lead,Voice
173,29,3,Bob,Pierre Coffin,M,alive,hero|neutral,naive|loving|clumsy,FALSE,0.15,lead,Voice
174,29,4,Scarlet Overkill,Sandra Bullock,F,alive,villain,ambitious|temperamental|selfish,FALSE,0.18,villain,Voice
175,29,5,Herb Overkill,Jon Hamm,M,alive,villain|neutral,loyal|inspired|energetic,FALSE,0.10,supporting,Voice
176,30,1,Steve Rogers / Captain America,Chris Evans,M,alive,hero,brave|noble|loyal,TRUE,0.22,lead,LiveAction
177,30,2,Tony Stark / Iron Man,Robert Downey Jr.,M,alive,hero|neutral,intelligent|stubborn|principled,FALSE,0.20,lead,LiveAction
178,30,3,Bucky Barnes / Winter Soldier,Sebastian Stan,M,alive,hero|neutral,haunted|loyal|strong,FALSE,0.12,supporting,LiveAction
179,30,4,Black Widow,Scarlett Johansson,F,alive,hero|neutral,skilled|empathetic|focused,FALSE,0.10,supporting,LiveAction
180,30,5,Sam Wilson / Falcon,Anthony Mackie,M,alive,hero|neutral,brave|calm|moral,FALSE,0.08,supporting,LiveAction
181,30,6,Helmut Zemo,Daniel Brühl,M,alive,villain,manipulative|intelligent|patient,FALSE,0.12,villain,LiveAction
182,31,1,Arthur Curry / Aquaman,Jason Momoa,M,alive,hero,brave|loyal|determined,TRUE,0.25,lead,LiveAction
183,31,2,Mera,Amber Heard,F,alive,hero,strong|intelligent|independent,FALSE,0.18,lead,LiveAction
184,31,3,Orm / Ocean Master,Patrick Wilson,M,alive,villain,proud|ambitious|vengeful,FALSE,0.15,villain,LiveAction
185,31,4,Thomas Curry,Temuera Morrison,M,alive,hero|neutral,loving|protective|humble,FALSE,0.08,supporting,LiveAction
186,31,5,Atlanna,Nicole Kidman,F,alive,hero|neutral,wise|courageous|compassionate,FALSE,0.08,supporting,LiveAction
187,31,6,Black Manta,Yahya Abdul-Mateen II,M,alive,villain,ruthless|vengeful|skilled,FALSE,0.12,villain,LiveAction
188,32,1,Peter Parker / Spider-Man,Tom Holland,M,alive,hero,brave|curious|empathetic,TRUE,0.25,lead,LiveAction
189,32,2,Nick Fury,Samuel L. Jackson,M,alive,hero|neutral,strategic|serious|commanding,FALSE,0.10,supporting,LiveAction
190,32,3,Quentin Beck / Mysterio,Jake Gyllenhaal,M,dead,villain,deceptive|charismatic|cunning,FALSE,0.15,villain,LiveAction
191,32,4,MJ,Zendaya,F,alive,hero|neutral,intelligent|sarcastic|caring,FALSE,0.10,supporting,LiveAction
192,32,5,Ned Leeds,Jacob Batalon,M,alive,hero|neutral,funny|loyal|nervous,FALSE,0.08,supporting,LiveAction
193,33,1,Carol Danvers / Captain Marvel,Brie Larson,F,alive,hero,strong|determined|confident,TRUE,0.25,lead,LiveAction
194,33,2,Nick Fury,Samuel L. Jackson,M,alive,hero|neutral,clever|strategic|calm,FALSE,0.12,supporting,LiveAction
195,33,3,Yon-Rogg,Jude Law,M,alive,villain,manipulative|prideful|controlling,FALSE,0.15,villain,LiveAction
196,33,4,Talos,Ben Mendelsohn,M,alive,hero|neutral,witty|cunning|loyal,FALSE,0.10,supporting,MotionCapture
197,33,5,Goose,,unknown,alive,neutral,playful|mysterious|dangerous,FALSE,0.08,supporting,MotionCapture
198,34,1,Frodo Baggins,Elijah Wood,M,alive,hero,brave|humble|loyal,TRUE,0.22,lead,LiveAction
199,34,2,Samwise Gamgee,Sean Astin,M,alive,hero,faithful|brave|selfless,FALSE,0.18,lead,LiveAction
200,34,3,Gandalf,Ian McKellen,M,alive,hero,wise|powerful|calm,FALSE,0.12,lead,LiveAction
201,34,4,Aragorn,Viggo Mortensen,M,alive,hero,brave|noble|leader,FALSE,0.15,lead,LiveAction
202,34,5,Legolas,Orlando Bloom,M,alive,hero|neutral,agile|loyal|calm,FALSE,0.08,supporting,LiveAction
203,34,6,Gimli,John Rhys-Davies,M,alive,hero|neutral,brash|loyal|courageous,FALSE,0.08,supporting,LiveAction
204,34,7,Gollum,Andy Serkis,M,dead,villain|neutral,obsessive|cunning|tragic,FALSE,0.10,villain,MotionCapture
205,35,1,Sam Witwicky,Shia LaBeouf,M,alive,hero,brave|impulsive|loyal,TRUE,0.20,lead,LiveAction
206,35,2,Carly Spencer,Rosie Huntington-Whiteley,F,alive,hero|neutral,intelligent|supportive|brave,FALSE,0.12,supporting,LiveAction
207,35,3,Optimus Prime,Peter Cullen,M,alive,hero,wise|honorable|powerful,FALSE,0.15,lead,Voice
208,35,4,Sentinel Prime,Leonard Nimoy,M,dead,villain,prideful|ruthless|strategic,FALSE,0.15,villain,Voice
209,35,5,Dylan Gould,Patrick Dempsey,M,dead,villain,greedy|manipulative|cowardly,FALSE,0.10,villain,LiveAction
210,35,6,Bumblebee,,M,alive,hero|neutral,loyal|brave|silent,FALSE,0.10,supporting,MotionCapture
211,36,1,James Bond,Daniel Craig,M,alive,hero,cool|ruthless|loyal,TRUE,0.25,lead,LiveAction
212,36,2,Raoul Silva,Javier Bardem,M,dead,villain,intelligent|vengeful|charismatic,FALSE,0.15,villain,LiveAction
213,36,3,M,Judi Dench,F,dead,hero|neutral,wise|authoritative|devoted,FALSE,0.12,supporting,LiveAction
214,36,4,Eve Moneypenny,Naomie Harris,F,alive,hero|neutral,capable|brave|charming,FALSE,0.08,supporting,LiveAction
215,36,5,Q,Ben Whishaw,M,alive,hero|neutral,intelligent|quirky|helpful,FALSE,0.08,supporting,LiveAction
216,37,1,Cade Yeager,Mark Wahlberg,M,alive,hero,brave|inventive|protective,TRUE,0.20,lead,LiveAction
217,37,2,Tessa Yeager,Nicola Peltz,F,alive,hero|neutral,kind|loyal|curious,FALSE,0.12,supporting,LiveAction
218,37,3,Optimus Prime,Peter Cullen,M,alive,hero,wise|powerful|honorable,FALSE,0.15,lead,Voice
219,37,4,Lockdown,Mark Ryan,M,dead,villain,merciless|efficient|cold,FALSE,0.15,villain,Voice
220,37,5,Joshua Joyce,Stanley Tucci,M,alive,hero|neutral,intelligent|sarcastic|arrogant,FALSE,0.10,supporting,LiveAction
221,37,6,Bumblebee,,M,alive,hero|neutral,brave|loyal|playful,FALSE,0.10,supporting,MotionCapture
222,38,1,Bruce Wayne / Batman,Christian Bale,M,alive,hero,stoic|brave|determined,TRUE,0.25,lead,LiveAction
