crew_id,film_id,person_name,job_title,department,award_won_for_film
82,11,Karen Gilchrist,Producer,Production,FALSE
83,11,Hans Zimmer,Composer,Sound,FALSE
84,11,Caleb Deschanel,Cinematographer,Camera,FALSE
85,11,Mark Livolsi,Editor,Editing,FALSE
86,11,James Chinlund,Production Designer,Art,FALSE
87,11,Robert Legato,Visual Effects Supervisor,VisualEffects,FALSE

88,12,Joss Whedon,Director,Directing,FALSE
89,12,Joss Whedon,Writer,Writing,FALSE
90,12,Kevin Feige,Producer,Production,FALSE
91,12,Alan Silvestri,Composer,Sound,FALSE
92,12,Seamus McGarvey,Cinematographer,Camera,FALSE
93,12,Jeffrey Ford,Editor,Editing,FALSE
94,12,James Chinlund,Production Designer,Art,FALSE
95,12,Janek Sirrs,Visual Effects Supervisor,VisualEffects,TRUE

96,13,James Wan,Director,Directing,FALSE
97,13,Chris Morgan,Writer,Writing,FALSE
98,13,Vin Diesel,Producer,Production,FALSE
99,13,Brian Tyler,Composer,Sound,FALSE
100,13,Marc Spicer,Cinematographer,Camera,FALSE
101,13,Christian Wagner,Editor,Editing,FALSE
102,13,Bill Brzeski,Production Designer,Art,FALSE
103,13,Dan Sudick,Visual Effects Supervisor,VisualEffects,FALSE

104,14,Joseph Kosinski,Director,Directing,FALSE
105,14,Christopher McQuarrie,Writer,Writing,FALSE
106,14,Jerry Bruckheimer,Producer,Production,TRUE
107,14,Hans Zimmer,Composer,Sound,FALSE
108,14,Claudio Miranda,Cinematographer,Camera,TRUE
109,14,Eddie Hamilton,Editor,Editing,TRUE
110,14,Jeremy Hindle,Production Designer,Art,FALSE
111,14,Ryan Tudhope,Visual Effects Supervisor,VisualEffects,FALSE

112,15,Chris Buck,Director,Directing,FALSE
113,15,Jennifer Lee,Director,Directing,FALSE
114,15,Jennifer Lee,Writer,Writing,FALSE
115,15,Peter Del Vecho,Producer,Production,FALSE
116,15,Christophe Beck,Composer,Sound,FALSE
117,15,Mohit Kallianpur,Cinematographer,Camera,FALSE
118,15,Jeff Draheim,Editor,Editing,FALSE
119,15,Michael Giaimo,Production Designer,Art,FALSE

120,16,Greta Gerwig,Director,Directing,FALSE
121,16,Greta Gerwig,Writer,Writing,FALSE
122,16,Noah Baumbach,Writer,Writing,FALSE
123,16,David Heyman,Producer,Production,FALSE
124,16,Mark Ronson,Composer,Sound,FALSE
125,16,Rodrigo Prieto,Cinematographer,Camera,FALSE
126,16,Nick Houy,Editor,Editing,FALSE
127,16,Sarah Greenwood,Production Designer,Art,FALSE

128,17,Joss Whedon,Director,Directing,FALSE
129,17,Joss Whedon,Writer,Writing,FALSE
130,17,Kevin Feige,Producer,Production,FALSE
131,17,Danny Elfman,Composer,Sound,FALSE
132,17,Ben Davis,Cinematographer,Camera,FALSE
133,17,Jeffrey Ford,Editor,Editing,FALSE
134,17,Charles Wood,Production Designer,Art,FALSE
135,17,Christopher Townsend,Visual Effects Supervisor,VisualEffects,FALSE

136,18,Aaron Horvath,Director,Directing,FALSE
137,18,Michael Jelenic,Director,Directing,FALSE
138,18,Matthew Fogel,Writer,Writing,FALSE
139,18,Chris Meledandri,Producer,Production,FALSE
140,18,Brian Tyler,Composer,Sound,FALSE
141,18,Renato Falcão,Cinematographer,Camera,FALSE
142,18,Eric Osmond,Editor,Editing,FALSE
143,18,Aaron Draplin,Production Designer,Art,FALSE

144,19,Shawn Levy,Director,Directing,FALSE
145,19,Rhett Reese,Writer,Writing,FALSE
146,19,Paul Wernick,Writer,Writing,FALSE
147,19,Kevin Feige,Producer,Production,FALSE
148,19,Rob Simonsen,Composer,Sound,FALSE
149,19,George Richmond,Cinematographer,Camera,FALSE
150,19,Dean Zimmerman,Editor,Editing,FALSE
151,19,Dan Glass,Visual Effects Supervisor,VisualEffects,FALSE

152,20,Ryan Coogler,Director,Directing,TRUE
153,20,Ryan Coogler,Writer,Writing,TRUE
154,20,Kevin Feige,Producer,Production,TRUE
155,20,Ludwig Göransson,Composer,Sound,TRUE
156,20,Rachel Morrison,Cinematographer,Camera,TRUE
157,20,Michael P. Shawver,Editor,Editing,FALSE
158,20,Hannah Beachler,Production Designer,Art,TRUE
159,20,Geoffrey Baumann,Visual Effects Supervisor,VisualEffects,FALSE
160,21,Rian Johnson,Director,Directing,FALSE
161,21,Rian Johnson,Writer,Writing,FALSE
162,21,Kathleen Kennedy,Producer,Production,FALSE
163,21,John Williams,Composer,Sound,FALSE
164,21,Steve Yedlin,Cinematographer,Camera,FALSE
165,21,Bob Ducsay,Editor,Editing,FALSE
166,21,Rick Heinrichs,Production Designer,Art,FALSE
167,21,Ben Morris,Visual Effects Supervisor,VisualEffects,FALSE

168,22,David Yates,Director,Directing,FALSE
169,22,Steve Kloves,Writer,Writing,FALSE
170,22,David Heyman,Producer,Production,FALSE
171,22,Alexandre Desplat,Composer,Sound,TRUE
172,22,Eduardo Serra,Cinematographer,Camera,FALSE
173,22,Mark Day,Editor,Editing,FALSE
174,22,Stuart Craig,Production Designer,Art,TRUE
175,22,Tim Burke,Visual Effects Supervisor,VisualEffects,FALSE

176,23,J.A. Bayona,Director,Directing,FALSE
177,23,Colin Trevorrow,Writer,Writing,FALSE
178,23,Derek Connolly,Writer,Writing,FALSE
179,23,Frank Marshall,Producer,Production,FALSE
180,23,Michael Giacchino,Composer,Sound,FALSE
181,23,Óscar Faura,Cinematographer,Camera,FALSE
182,23,Bernat Vilaplana,Editor,Editing,FALSE
183,23,Andy Nicholson,Production Designer,Art,FALSE

184,24,Chris Buck,Director,Directing,TRUE
185,24,Jennifer Lee,Director,Directing,TRUE
186,24,Jennifer Lee,Writer,Writing,TRUE
187,24,Peter Del Vecho,Producer,Production,TRUE
188,24,Christophe Beck,Composer,Sound,TRUE
189,24,Mohit Kallianpur,Cinematographer,Camera,FALSE
190,24,Jeff Draheim,Editor,Editing,TRUE
191,24,Michael Giaimo,Production Designer,Art,TRUE

192,25,Bill Condon,Director,Directing,FALSE
193,25,Stephen Chbosky,Writer,Writing,FALSE
194,25,Evan Spiliotopoulos,Writer,Writing,FALSE
195,25,David Hoberman,Producer,Production,FALSE
196,25,Alan Menken,Composer,Sound,FALSE
197,25,Tobias A. Schliessler,Cinematographer,Camera,FALSE
198,25,Virginia Katz,Editor,Editing,FALSE
199,25,Sarah Greenwood,Production Designer,Art,FALSE

200,26,Brad Bird,Director,Directing,FALSE
201,26,Brad Bird,Writer,Writing,FALSE
202,26,John Walker,Producer,Production,FALSE
203,26,Michael Giacchino,Composer,Sound,FALSE
204,26,Erik Smitt,Cinematographer,Camera,FALSE
205,26,Stephen Schaffer,Editor,Editing,FALSE
206,26,Ralph Eggleston,Production Designer,Art,FALSE
207,26,Brad Bird,Visual Effects Supervisor,VisualEffects,FALSE

208,27,Shane Black,Director,Directing,FALSE
209,27,Drew Pearce,Writer,Writing,FALSE
210,27,Kevin Feige,Producer,Production,FALSE
211,27,Brian Tyler,Composer,Sound,FALSE
212,27,John Toll,Cinematographer,Camera,FALSE
213,27,Peter S. Elliot,Editor,Editing,FALSE
214,27,Bill Brzeski,Production Designer,Art,FALSE
215,27,Chris Townsend,Visual Effects Supervisor,VisualEffects,FALSE

216,28,F. Gary Gray,Director,Directing,FALSE
217,28,Chris Morgan,Writer,Writing,FALSE
218,28,Neal H. Moritz,Producer,Production,FALSE
219,28,Brian Tyler,Composer,Sound,FALSE
220,28,Stephen F. Windon,Cinematographer,Camera,FALSE
221,28,Paul Rubell,Editor,Editing,FALSE
222,28,Bill Brzeski,Production Designer,Art,FALSE
223,28,Dan Sudick,Visual Effects Supervisor,VisualEffects,FALSE

224,29,Kyle Balda,Director,Directing,FALSE
225,29,Pierre Coffin,Director,Directing,FALSE
226,29,Brian Lynch,Writer,Writing,FALSE
227,29,Chris Meledandri,Producer,Production,FALSE
228,29,Heitor Pereira,Composer,Sound,FALSE
229,29,Samuel Tourneux,Cinematographer,Camera,FALSE
230,29,Claire Dodgson,Editor,Editing,FALSE
231,29,Eric Guillon,Production Designer,Art,FALSE

232,30,Anthony Russo,Director,Directing,FALSE
233,30,Joe Russo,Director,Directing,FALSE
234,30,Christopher Markus,Writer,Writing,FALSE
235,30,Stephen McFeely,Writer,Writing,FALSE
236,30,Kevin Feige,Producer,Production,FALSE
237,30,Henry Jackman,Composer,Sound,FALSE
238,30,Trent Opaloch,Cinematographer,Camera,FALSE
239,30,Jeffrey Ford,Editor,Editing,FALSE
240,31,James Wan,Director,Directing,FALSE
241,31,David Leslie Johnson-McGoldrick,Writer,Writing,FALSE
242,31,Peter Safran,Producer,Production,FALSE
243,31,Rupert Gregson-Williams,Composer,Sound,FALSE
244,31,Don Burgess,Cinematographer,Camera,FALSE
245,31,Kirk M. Morri,Editor,Editing,FALSE
246,31,Bill Brzeski,Production Designer,Art,FALSE
247,31,Kelvin McIlwain,Visual Effects Supervisor,VisualEffects,FALSE

248,32,Jon Watts,Director,Directing,FALSE
249,32,Chris McKenna,Writer,Writing,FALSE
250,32,Erik Sommers,Writer,Writing,FALSE
251,32,Amy Pascal,Producer,Production,FALSE
252,32,Michael Giacchino,Composer,Sound,FALSE
253,32,Matthew J. Lloyd,Cinematographer,Camera,FALSE
254,32,Leigh Folsom Boyd,Editor,Editing,FALSE
255,32,Dan Sudick,Visual Effects Supervisor,VisualEffects,FALSE

256,33,Anna Boden,Director,Directing,FALSE
257,33,Ryan Fleck,Director,Directing,FALSE
258,33,Anna Boden,Writer,Writing,FALSE
259,33,Ryan Fleck,Writer,Writing,FALSE
260,33,Kevin Feige,Producer,Production,FALSE
261,33,Pinar Toprak,Composer,Sound,FALSE
262,33,Ben Davis,Cinematographer,Camera,FALSE
263,33,Debbie Berman,Editor,Editing,FALSE

264,34,Peter Jackson,Director,Directing,TRUE
265,34,Fran Walsh,Writer,Writing,TRUE
266,34,Philippa Boyens,Writer,Writing,TRUE
267,34,Barrie M. Osborne,Producer,Production,TRUE
268,34,Howard Shore,Composer,Sound,TRUE
269,34,Andrew Lesnie,Cinematographer,Camera,TRUE
270,34,Jamie Selkirk,Editor,Editing,TRUE
271,34,Richard Taylor,Visual Effects Supervisor,VisualEffects,TRUE

272,35,Michael Bay,Director,Directing,FALSE
273,35,Ehren Kruger,Writer,Writing,FALSE
274,35,Lorenzo di Bonaventura,Producer,Production,FALSE
275,35,Steve Jablonsky,Composer,Sound,FALSE
276,35,Amir Mokri,Cinematographer,Camera,FALSE
277,35,William Goldenberg,Editor,Editing,FALSE
278,35,Nelson Coates,Production Designer,Art,FALSE
279,35,Scott Farrar,Visual Effects Supervisor,VisualEffects,FALSE

280,36,Sam Mendes,Director,Directing,TRUE
281,36,Neal Purvis,Writer,Writing,FALSE
282,36,Robert Wade,Writer,Writing,FALSE
283,36,Barbara Broccoli,Producer,Production,TRUE
284,36,Thomas Newman,Composer,Sound,FALSE
285,36,Roger Deakins,Cinematographer,Camera,TRUE
286,36,Stuart Baird,Editor,Editing,FALSE
287,36,Chris Corbould,Visual Effects Supervisor,VisualEffects,TRUE

288,37,Michael Bay,Director,Directing,FALSE
289,37,Ehren Kruger,Writer,Writing,FALSE
290,37,Lorenzo di Bonaventura,Producer,Production,FALSE
291,37,Steve Jablonsky,Composer,Sound,FALSE
292,37,Amir Mokri,Cinematographer,Camera,FALSE
293,37,William Goldenberg,Editor,Editing,FALSE
294,37,Jeff Mann,Production Designer,Art,FALSE
295,37,Scott Farrar,Visual Effects Supervisor,VisualEffects,FALSE

296,38,Christopher Nolan,Director,Directing,FALSE
297,38,Jonathan Nolan,Writer,Writing,FALSE
298,38,Emma Thomas,Producer,Production,FALSE
299,38,Hans Zimmer,Composer,Sound,FALSE
300,38,Wally Pfister,Cinematographer,Camera,TRUE
301,38,Lee Smith,Editor,Editing,FALSE
302,38,Nathan Crowley,Production Designer,Art,FALSE
303,38,Paul Franklin,Visual Effects Supervisor,VisualEffects,TRUE

304,39,Todd Phillips,Director,Directing,TRUE
305,39,Todd Phillips,Writer,Writing,TRUE
306,39,Scott Silver,Writer,Writing,TRUE
307,39,Bradley Cooper,Producer,Production,TRUE
308,39,Hildur Guðnadóttir,Composer,Sound,TRUE
309,39,Laurence Sher,Cinematographer,Camera,FALSE
310,39,Jeff Groth,Editor,Editing,TRUE
311,39,Mark Friedberg,Production Designer,Art,FALSE

312,40,Josh Cooley,Director,Directing,TRUE
313,40,Andrew Stanton,Writer,Writing,FALSE
314,40,Stephany Folsom,Writer,Writing,FALSE
315,40,Mark Nielsen,Producer,Production,TRUE
316,40,Randy Newman,Composer,Sound,TRUE
317,40,Patrick Lin,Cinematographer,Camera,FALSE
318,40,Axel Geddes,Editor,Editing,FALSE
319,40,Bob Pauley,Production Designer,Art,FALSE

320,41,J.J. Abrams,Director,Directing,FALSE
321,41,Chris Terrio,Writer,Writing,FALSE
322,41,Kathleen Kennedy,Producer,Production,FALSE
323,41,John Williams,Composer,Sound,FALSE
324,41,Dan Mindel,Cinematographer,Camera,FALSE
325,41,Maryann Brandon,Editor,Editing,FALSE
326,41,Rick Carter,Production Designer,Art,FALSE
327,41,Roger Guyett,Visual Effects Supervisor,VisualEffects,FALSE

328,42,Lee Unkrich,Director,Directing,TRUE
329,42,Michael Arndt,Writer,Writing,TRUE
330,42,Darla K. Anderson,Producer,Production,TRUE
331,42,Randy Newman,Composer,Sound,TRUE
332,42,Jeremy Lasky,Cinematographer,Camera,FALSE
333,42,Ken Schretzmann,Editor,Editing,FALSE
334,42,Bob Pauley,Production Designer,Art,FALSE
335,42,Galyn Susman,Visual Effects Supervisor,VisualEffects,FALSE

336,43,Gore Verbinski,Director,Directing,TRUE
337,43,Ted Elliott,Writer,Writing,FALSE
338,43,Terry Rossio,Writer,Writing,FALSE
339,43,Jerry Bruckheimer,Producer,Production,TRUE
340,43,Hans Zimmer,Composer,Sound,FALSE
341,43,Dariusz Wolski,Cinematographer,Camera,FALSE
342,43,Stephen Rivkin,Editor,Editing,FALSE
343,43,John Myhre,Production Designer,Art,TRUE

344,44,David Derrick Jr.,Director,Directing,FALSE
345,44,Jason Hand,Director,Directing,FALSE
346,44,Christina Chen,Writer,Writing,FALSE
347,44,Osnat Shurer,Producer,Production,FALSE
348,44,Lin-Manuel Miranda,Composer,Sound,FALSE
349,44,Adolph Lusinsky,Cinematographer,Camera,FALSE
350,44,Jeff Draheim,Editor,Editing,FALSE
351,44,Ian Gooding,Production Designer,Art,FALSE

352,45,Steven Spielberg,Director,Directing,TRUE
353,45,Michael Crichton,Writer,Writing,TRUE
354,45,David Koepp,Writer,Writing,TRUE
355,45,Kathleen Kennedy,Producer,Production,TRUE
356,45,John Williams,Composer,Sound,TRUE
357,45,Dean Cundey,Cinematographer,Camera,TRUE
358,45,Michael Kahn,Editor,Editing,TRUE
359,45,Rick Carter,Production Designer,Art,TRUE

360,46,Gareth Edwards,Director,Directing,FALSE
361,46,Chris Weitz,Writer,Writing,FALSE
362,46,Kathleen Kennedy,Producer,Production,FALSE
363,46,Michael Giacchino,Composer,Sound,FALSE
364,46,Greig Fraser,Cinematographer,Camera,FALSE
365,46,Jabez Olssen,Editor,Editing,FALSE
366,46,Doug Chiang,Production Designer,Art,FALSE
367,46,John Knoll,Visual Effects Supervisor,VisualEffects,TRUE

368,47,George Lucas,Director,Directing,FALSE
369,47,George Lucas,Writer,Writing,FALSE
370,47,Rick McCallum,Producer,Production,FALSE
371,47,John Williams,Composer,Sound,FALSE
372,47,David Tattersall,Cinematographer,Camera,FALSE
373,47,Ben Burtt,Editor,Editing,FALSE
374,47,Gavin Bocquet,Production Designer,Art,FALSE
375,47,John Knoll,Visual Effects Supervisor,VisualEffects,FALSE

376,48,Rob Marshall,Director,Directing,FALSE
377,48,Ted Elliott,Writer,Writing,FALSE
378,48,Terry Rossio,Writer,Writing,FALSE
379,48,Jerry Bruckheimer,Producer,Production,FALSE
380,48,Hans Zimmer,Composer,Sound,FALSE
381,48,Dariusz Wolski,Cinematographer,Camera,FALSE
382,48,David Brenner,Editor,Editing,FALSE
383,48,John Myhre,Production Designer,Art,FALSE

384,49,Guy Ritchie,Director,Directing,FALSE
385,49,John August,Writer,Writing,FALSE
386,49,Dan Lin,Producer,Production,FALSE
387,49,Alan Menken,Composer,Sound,FALSE
388,49,Alan Stewart,Cinematographer,Camera,FALSE
389,49,James Herbert,Editor,Editing,FALSE
390,49,Gemma Jackson,Production Designer,Art,FALSE
391,49,Dan Lebental,Visual Effects Supervisor,VisualEffects,FALSE

392,50,Dean Fleischer Camp,Director,Directing,FALSE
393,50,Chris Kekaniokalani Bright,Writer,Writing,FALSE
394,50,Dan Lin,Producer,Production,FALSE
395,50,Mark Mancina,Composer,Sound,FALSE
396,50,Adolph Lusinsky,Cinematographer,Camera,FALSE
397,50,Jeff Draheim,Editor,Editing,FALSE
398,50,Ian Gooding,Production Designer,Art,FALSE
399,50,Eric Saindon,Visual Effects Supervisor,VisualEffects,FALSE
400,51,Pierre Coffin,Director,Directing,FALSE
401,51,Kyle Balda,Director,Directing,FALSE
402,51,Ken Daurio,Writer,Writing,FALSE
403,51,Chris Meledandri,Producer,Production,FALSE
404,51,Heitor Pereira,Composer,Sound,FALSE
405,51,Bruno Chauffard,Cinematographer,Camera,FALSE
406,51,Claire Dodgson,Editor,Editing,FALSE
407,51,Eric Guillon,Production Designer,Art,FALSE

408,52,Tim Burton,Director,Directing,FALSE
409,52,Linda Woolverton,Writer,Writing,FALSE
410,52,Richard D. Zanuck,Producer,Production,FALSE
411,52,Danny Elfman,Composer,Sound,FALSE
412,52,Dariusz Wolski,Cinematographer,Camera,FALSE
413,52,Chris Lebenzon,Editor,Editing,FALSE
414,52,Robert Stromberg,Production Designer,Art,TRUE
415,52,Ken Ralston,Visual Effects Supervisor,VisualEffects,TRUE

416,53,Andrew Stanton,Director,Directing,FALSE
417,53,Victoria Strouse,Writer,Writing,FALSE
418,53,Lindsey Collins,Producer,Production,FALSE
419,53,Thomas Newman,Composer,Sound,FALSE
420,53,Jeremy Lasky,Cinematographer,Camera,FALSE
421,53,Axel Geddes,Editor,Editing,FALSE
422,53,Steve Pilcher,Production Designer,Art,FALSE
423,53,Patrick Lin,Visual Effects Supervisor,VisualEffects,FALSE

424,54,Byron Howard,Director,Directing,TRUE
425,54,Rich Moore,Director,Directing,TRUE
426,54,Jared Bush,Writer,Writing,TRUE
427,54,Clark Spencer,Producer,Production,TRUE
428,54,Michael Giacchino,Composer,Sound,TRUE
429,54,Nathan Warner,Cinematographer,Camera,FALSE
430,54,Fabienne Rawley,Editor,Editing,FALSE
431,54,David Goetz,Production Designer,Art,FALSE

432,55,Peter Jackson,Director,Directing,FALSE
433,55,Fran Walsh,Writer,Writing,FALSE
434,55,Philippa Boyens,Writer,Writing,FALSE
435,55,Barrie M. Osborne,Producer,Production,FALSE
436,55,Howard Shore,Composer,Sound,FALSE
437,55,Andrew Lesnie,Cinematographer,Camera,FALSE
438,55,Jabez Olssen,Editor,Editing,FALSE
439,55,Dan Hennah,Production Designer,Art,FALSE

440,56,Christopher Nolan,Director,Directing,TRUE
441,56,Jonathan Nolan,Writer,Writing,TRUE
442,56,Emma Thomas,Producer,Production,TRUE
443,56,Hans Zimmer,Composer,Sound,TRUE
444,56,Wally Pfister,Cinematographer,Camera,TRUE
445,56,Lee Smith,Editor,Editing,TRUE
446,56,Nathan Crowley,Production Designer,Art,FALSE
447,56,Paul Franklin,Visual Effects Supervisor,VisualEffects,TRUE

448,57,Colin Trevorrow,Director,Directing,FALSE
449,57,Emily Carmichael,Writer,Writing,FALSE
450,57,Frank Marshall,Producer,Production,FALSE
451,57,Michael Giacchino,Composer,Sound,FALSE
452,57,John Schwartzman,Cinematographer,Camera,FALSE
453,57,Mark Sanger,Editor,Editing,FALSE
454,57,Kevin Jenkins,Production Designer,Art,FALSE
455,57,David Vickery,Visual Effects Supervisor,VisualEffects,FALSE

456,58,Roger Allers,Director,Directing,TRUE
457,58,Rob Minkoff,Director,Directing,TRUE
458,58,Irene Mecchi,Writer,Writing,TRUE
459,58,Don Hahn,Producer,Production,TRUE
460,58,Hans Zimmer,Composer,Sound,TRUE
461,58,Andy Gaskill,Cinematographer,Camera,FALSE
462,58,Irene Mecchi,Editor,Editing,FALSE
463,58,Chris Sanders,Production Designer,Art,FALSE

464,59,Christopher Nolan,Director,Directing,TRUE
465,59,Christopher Nolan,Writer,Writing,TRUE
466,59,Emma Thomas,Producer,Production,TRUE
467,59,Ludwig Göransson,Composer,Sound,TRUE
468,59,Hoyte van Hoytema,Cinematographer,Camera,TRUE
469,59,Jennifer Lame,Editor,Editing,TRUE
470,59,Ruth De Jong,Production Designer,Art,TRUE
471,59,Andrew Jackson,Visual Effects Supervisor,VisualEffects,TRUE

472,60,Pierre Coffin,Director,Directing,FALSE
473,60,Chris Renaud,Director,Directing,FALSE
474,60,Ken Daurio,Writer,Writing,FALSE
475,60,Chris Meledandri,Producer,Production,FALSE
476,60,Heitor Pereira,Composer,Sound,FALSE
477,60,Bruno Chauffard,Cinematographer,Camera,FALSE
478,60,Greg Perler,Editor,Editing,FALSE
479,60,Eric Guillon,Production Designer,Art,FALSE

480,61,Chris Renaud,Director,Directing,FALSE
481,61,Patrick Delage,Director,Directing,FALSE
482,61,Mike White,Writer,Writing,FALSE
483,61,Chris Meledandri,Producer,Production,FALSE
484,61,Heitor Pereira,Composer,Sound,FALSE
485,61,Bruno Chauffard,Cinematographer,Camera,FALSE
486,61,Greg Perler,Editor,Editing,FALSE
487,61,Eric Guillon,Production Designer,Art,FALSE

488,62,Chris Columbus,Director,Directing,FALSE
489,62,Steve Kloves,Writer,Writing,FALSE
490,62,David Heyman,Producer,Production,FALSE
491,62,John Williams,Composer,Sound,FALSE
492,62,John Seale,Cinematographer,Camera,FALSE
493,62,Richard Francis-Bruce,Editor,Editing,FALSE
494,62,Stuart Craig,Production Designer,Art,FALSE
495,62,Nick Dudman,Visual Effects Supervisor,VisualEffects,FALSE

496,63,Jake Kasdan,Director,Directing,FALSE
497,63,Chris McKenna,Writer,Writing,FALSE
498,63,Scott Rosenberg,Writer,Writing,FALSE
499,63,Matt Tolmach,Producer,Production,FALSE
500,63,Henry Jackman,Composer,Sound,FALSE
501,63,Gyula Pados,Cinematographer,Camera,FALSE
502,63,Mark Helfrich,Editor,Editing,FALSE
503,63,Owen Paterson,Production Designer,Art,FALSE

504,64,Gore Verbinski,Director,Directing,FALSE
505,64,Ted Elliott,Writer,Writing,FALSE
506,64,Terry Rossio,Writer,Writing,FALSE
507,64,Jerry Bruckheimer,Producer,Production,FALSE
508,64,Hans Zimmer,Composer,Sound,FALSE
509,64,Dariusz Wolski,Cinematographer,Camera,FALSE
510,64,Stephen Rivkin,Editor,Editing,FALSE
511,64,Rick Heinrichs,Production Designer,Art,FALSE

512,65,Peter Jackson,Director,Directing,FALSE
513,65,Fran Walsh,Writer,Writing,FALSE
514,65,Philippa Boyens,Writer,Writing,FALSE
515,65,Carolynne Cunningham,Producer,Production,FALSE
516,65,Howard Shore,Composer,Sound,FALSE
517,65,Andrew Lesnie,Cinematographer,Camera,FALSE
518,65,Jabez Olssen,Editor,Editing,FALSE
519,65,Dan Hennah,Production Designer,Art,FALSE

520,66,Jared Hess,Director,Directing,FALSE
521,66,Chris Bowman,Writer,Writing,FALSE
522,66,Hubbel Palmer,Writer,Writing,FALSE
