film_id,political_content_present,political_alignment,social_issue_focus,lgbt_representation_present,minority_representation_strength,gender_equality_focus,war_or_conflict_related,environmental_theme_present,activism_message_strength,controversy_level,propaganda_tone
53,TRUE,progressive,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.3,0.2,FALSE
54,TRUE,progressive,race,FALSE,0.7,TRUE,FALSE,FALSE,0.6,0.3,FALSE
55,TRUE,neutral,war,FALSE,0.1,FALSE,TRUE,FALSE,0.2,0.1,FALSE
56,TRUE,conservative,other,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.4,FALSE
57,TRUE,neutral,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.3,0.1,FALSE
58,TRUE,neutral,other,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.2,FALSE
59,TRUE,anti_establishment,war,FALSE,0.1,FALSE,TRUE,FALSE,0.5,0.4,FALSE
60,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
61,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
62,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
63,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
64,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.4,0.2,FALSE
65,TRUE,neutral,war,FALSE,0.1,FALSE,TRUE,FALSE,0.2,0.1,FALSE
66,,,,,,,,,,,
67,TRUE,neutral,other,TRUE,0.5,FALSE,TRUE,FALSE,0.2,0.2,FALSE
68,TRUE,neutral,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.3,0.2,FALSE
69,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.6,0.2,FALSE
70,TRUE,neutral,war,FALSE,0.1,FALSE,TRUE,FALSE,0.2,0.1,FALSE
71,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
72,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.7,0.2,FALSE
73,TRUE,progressive,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.4,0.1,FALSE
74,TRUE,progressive,gender,FALSE,0.3,TRUE,FALSE,FALSE,0.5,0.2,FALSE
75,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.5,0.2,FALSE
76,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.5,0.1,FALSE
77,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.6,0.2,FALSE
78,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
79,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.5,0.1,FALSE
80,FALSE,neutral,other,FALSE,0.1,FALSE,FALSE,FALSE,0.1,0.1,FALSE
81,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
82,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.2,FALSE
83,TRUE,neutral,environment,FALSE,0.1,FALSE,FALSE,TRUE,0.3,0.1,FALSE
84,TRUE,progressive,lgbt,TRUE,0.6,FALSE,FALSE,FALSE,0.5,0.5,FALSE
85,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.2,FALSE
86,FALSE,neutral,other,FALSE,0.5,FALSE,FALSE,FALSE,0.1,0.1,FALSE
87,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
88,TRUE,neutral,other,FALSE,0.3,FALSE,TRUE,FALSE,0.4,0.6,FALSE
89,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.2,0.1,FALSE
90,,,,,,,,,,,
91,TRUE,anti_establishment,class,FALSE,0.5,TRUE,TRUE,FALSE,0.9,0.3,FALSE
92,TRUE,progressive,race,TRUE,0.9,TRUE,TRUE,FALSE,0.6,0.3,FALSE
93,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.2,FALSE
94,TRUE,anti_establishment,other,FALSE,0.4,TRUE,TRUE,FALSE,0.5,0.2,FALSE
95,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.1,FALSE
96,TRUE,progressive,environment,TRUE,0.5,FALSE,TRUE,TRUE,0.6,0.3,FALSE
97,FALSE,neutral,other,FALSE,0.1,FALSE,FALSE,FALSE,0.1,0.1,FALSE
98,TRUE,conservative,war,FALSE,0.1,FALSE,TRUE,FALSE,0.2,0.4,FALSE
99,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.2,FALSE
100,TRUE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.2,FALSE
101,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.1,FALSE
102,TRUE,progressive,gender,FALSE,0.3,TRUE,TRUE,FALSE,0.4,0.2,FALSE
103,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.2,FALSE
104,TRUE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.2,FALSE
105,TRUE,authoritarian,war,FALSE,0.1,FALSE,TRUE,FALSE,0.2,0.6,TRUE
106,TRUE,authoritarian,war,FALSE,0.1,FALSE,TRUE,FALSE,0.3,0.7,TRUE
107,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
108,TRUE,anti_establishment,other,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.1,FALSE
109,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.1,FALSE
110,TRUE,progressive,race,FALSE,0.9,FALSE,FALSE,FALSE,0.3,0.1,FALSE
111,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
112,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
113,FALSE,neutral,other,FALSE,0.5,FALSE,FALSE,FALSE,0.1,0.1,FALSE
114,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.3,FALSE
115,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.2,FALSE
116,TRUE,neutral,other,TRUE,0.5,FALSE,FALSE,FALSE,0.2,0.3,FALSE
117,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
118,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.3,FALSE
119,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.7,0.2,FALSE
120,TRUE,anti_establishment,class,FALSE,0.4,FALSE,FALSE,FALSE,0.5,0.2,FALSE
121,TRUE,neutral,other,FALSE,0.4,FALSE,TRUE,FALSE,0.3,0.1,FALSE
122,TRUE,anti_establishment,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.7,FALSE
123,TRUE,anti_establishment,class,FALSE,0.5,TRUE,TRUE,FALSE,0.9,0.3,FALSE
124,TRUE,progressive,lgbt,TRUE,0.4,TRUE,TRUE,FALSE,0.4,0.4,FALSE
125,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
126,TRUE,conservative,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.2,FALSE
127,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.1,FALSE
128,TRUE,progressive,gender,FALSE,0.3,TRUE,FALSE,FALSE,0.5,0.2,FALSE
129,TRUE,neutral,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.2,0.2,FALSE
130,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
131,TRUE,progressive,other,FALSE,0.4,TRUE,FALSE,FALSE,0.5,0.2,FALSE
132,TRUE,neutral,other,FALSE,0.4,FALSE,TRUE,FALSE,0.2,0.4,FALSE
133,TRUE,progressive,race,FALSE,0.6,FALSE,TRUE,FALSE,0.5,0.2,FALSE
134,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
135,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
136,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.1,FALSE
137,TRUE,anti_establishment,other,FALSE,0.3,FALSE,FALSE,FALSE,0.6,0.3,FALSE
138,TRUE,neutral,other,FALSE,0.3,FALSE,FALSE,TRUE,0.3,0.1,FALSE
139,TRUE,neutral,other,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.2,FALSE
140,TRUE,conservative,other,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.4,FALSE
141,FALSE,neutral,other,FALSE,0.6,FALSE,FALSE,FALSE,0.1,0.1,FALSE
142,TRUE,anti_establishment,war,FALSE,0.4,FALSE,TRUE,TRUE,0.8,0.4,FALSE
143,TRUE,anti_establishment,other,FALSE,0.4,FALSE,TRUE,FALSE,0.6,0.4,FALSE
144,FALSE,neutral,other,FALSE,0.6,FALSE,FALSE,FALSE,0.1,0.1,FALSE
145,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,TRUE,0.5,0.2,FALSE
146,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.1,FALSE
147,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.3,FALSE
148,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.2,FALSE
149,TRUE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.3,FALSE
150,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.2,FALSE
151,TRUE,progressive,other,FALSE,0.8,TRUE,FALSE,FALSE,0.5,0.2,FALSE
152,TRUE,anti_establishment,other,FALSE,0.3,TRUE,TRUE,FALSE,0.3,0.1,FALSE
153,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.2,FALSE
154,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
155,TRUE,progressive,environment,FALSE,0.8,TRUE,FALSE,TRUE,0.5,0.2,FALSE
156,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.3,FALSE
157,TRUE,neutral,other,FALSE,0.4,FALSE,TRUE,FALSE,0.4,0.3,FALSE
158,TRUE,anti_establishment,class,FALSE,0.4,TRUE,TRUE,FALSE,0.9,0.3,FALSE
159,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.4,FALSE
160,FALSE,neutral,other,FALSE,0.1,FALSE,FALSE,FALSE,0.1,0.1,FALSE
161,TRUE,conservative,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.3,FALSE
162,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.4,0.1,FALSE
163,TRUE,neutral,other,FALSE,0.4,FALSE,TRUE,FALSE,0.2,0.3,FALSE
164,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.6,0.3,FALSE
165,TRUE,authoritarian,other,TRUE,0.3,FALSE,TRUE,FALSE,0.4,0.5,FALSE
166,TRUE,anti_establishment,other,FALSE,0.3,FALSE,FALSE,FALSE,0.3,0.1,FALSE
167,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
168,TRUE,neutral,other,FALSE,0.4,TRUE,FALSE,FALSE,0.3,0.1,FALSE
169,TRUE,progressive,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.4,0.1,FALSE
170,TRUE,progressive,other,FALSE,0.7,TRUE,FALSE,FALSE,0.3,0.1,FALSE
171,TRUE,anti_establishment,class,FALSE,0.5,TRUE,TRUE,FALSE,0.9,0.3,FALSE
172,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.1,FALSE
173,TRUE,neutral,environment,FALSE,0.2,TRUE,FALSE,TRUE,0.5,0.2,FALSE
174,,,,,,,,,,,
175,,,,,,,,,,,
176,TRUE,progressive,class,FALSE,0.4,FALSE,FALSE,FALSE,0.3,0.1,FALSE
177,TRUE,neutral,other,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.1,FALSE
178,TRUE,conservative,other,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.2,FALSE
179,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
180,FALSE,anti_establishment,other,FALSE,0.6,FALSE,FALSE,FALSE,0.2,0.1,FALSE
181,,,,,,,,,,,
182,TRUE,neutral,class,FALSE,0.3,FALSE,FALSE,FALSE,0.3,0.1,FALSE
183,TRUE,neutral,race,FALSE,0.5,FALSE,FALSE,FALSE,0.3,0.2,FALSE
184,FALSE,neutral,other,FALSE,0.4,TRUE,FALSE,FALSE,0.3,0.1,FALSE
185,TRUE,conservative,other,FALSE,0.1,FALSE,FALSE,FALSE,0.5,0.9,TRUE
186,TRUE,conservative,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.2,FALSE
187,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,TRUE,0.2,0.2,FALSE
188,TRUE,anti_establishment,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.4,0.1,FALSE
189,,,,,,,,,,,
190,TRUE,progressive,other,FALSE,0.3,TRUE,TRUE,FALSE,0.5,0.1,FALSE
191,TRUE,anti_establishment,class,FALSE,0.5,FALSE,TRUE,FALSE,0.7,0.3,FALSE
192,TRUE,authoritarian,environment,FALSE,0.1,FALSE,FALSE,TRUE,0.5,0.5,TRUE
193,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.2,FALSE
194,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.2,FALSE
195,TRUE,neutral,environment,FALSE,0.4,FALSE,FALSE,TRUE,0.2,0.1,FALSE
196,TRUE,conservative,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.2,FALSE
197,TRUE,neutral,environment,FALSE,0.3,FALSE,TRUE,TRUE,0.4,0.2,FALSE
198,,,,,,,,,,,
199,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
200,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.4,FALSE
201,TRUE,neutral,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.3,0.2,FALSE
202,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.2,FALSE
203,TRUE,anti_establishment,other,FALSE,0.3,FALSE,FALSE,FALSE,0.3,0.1,FALSE
204,FALSE,neutral,other,FALSE,0.2,TRUE,FALSE,FALSE,0.2,0.1,FALSE
205,TRUE,authoritarian,war,FALSE,0.1,FALSE,TRUE,FALSE,0.3,0.3,TRUE
206,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
207,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
208,TRUE,neutral,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.3,0.1,FALSE
209,TRUE,neutral,environment,FALSE,0.3,FALSE,TRUE,TRUE,0.2,0.1,FALSE
210,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.4,0.3,FALSE
211,FALSE,neutral,gender,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.6,FALSE
212,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
213,TRUE,progressive,race,FALSE,0.8,TRUE,FALSE,FALSE,0.3,0.6,FALSE
214,TRUE,anti_establishment,other,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.2,FALSE
215,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
216,TRUE,neutral,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.3,0.1,FALSE
217,TRUE,neutral,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.4,0.2,FALSE
218,TRUE,anti_establishment,class,FALSE,0.3,FALSE,FALSE,FALSE,0.4,0.2,FALSE
219,TRUE,neutral,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.2,0.1,FALSE
220,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.3,FALSE
221,TRUE,progressive,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.6,0.3,FALSE
222,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
223,TRUE,progressive,gender,FALSE,0.2,TRUE,FALSE,FALSE,0.5,0.2,FALSE
224,TRUE,conservative,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.2,FALSE
225,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.2,FALSE
226,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.6,0.1,FALSE
227,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
228,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.7,FALSE
229,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
230,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
231,TRUE,progressive,race,FALSE,0.5,FALSE,TRUE,FALSE,0.5,0.2,FALSE
232,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
233,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.2,FALSE
234,TRUE,progressive,environment,FALSE,0.5,FALSE,FALSE,TRUE,0.4,0.3,FALSE
235,TRUE,progressive,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.7,0.2,FALSE
236,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.2,FALSE
237,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
238,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
239,TRUE,neutral,environment,FALSE,0.3,FALSE,TRUE,TRUE,0.3,0.2,FALSE
240,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.2,FALSE
241,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
242,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
243,TRUE,anti_establishment,environment,FALSE,0.4,FALSE,TRUE,TRUE,0.6,0.3,FALSE
244,TRUE,progressive,environment,FALSE,0.4,FALSE,FALSE,TRUE,0.7,0.2,FALSE
245,,,,,,,,,,,
246,TRUE,progressive,environment,FALSE,0.3,FALSE,TRUE,TRUE,0.5,0.1,FALSE
247,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
248,TRUE,anti_establishment,other,FALSE,0.3,FALSE,FALSE,FALSE,0.3,0.1,FALSE
249,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
250,TRUE,authoritarian,environment,FALSE,0.1,FALSE,FALSE,TRUE,0.5,0.5,TRUE
251,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
252,TRUE,authoritarian,war,FALSE,0.1,FALSE,TRUE,FALSE,0.3,0.6,TRUE
253,TRUE,neutral,other,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.1,FALSE
254,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
255,FALSE,neutral,other,FALSE,0.1,FALSE,FALSE,FALSE,0.1,0.1,FALSE
256,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
257,TRUE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.3,0.2,FALSE
258,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
259,TRUE,neutral,race,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.3,FALSE
260,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.2,FALSE
261,TRUE,neutral,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.3,0.1,FALSE
262,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
263,TRUE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.2,FALSE
264,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.2,0.1,FALSE
265,TRUE,progressive,environment,FALSE,0.2,FALSE,TRUE,TRUE,0.5,0.1,FALSE
266,FALSE,neutral,other,FALSE,0.2,FALSE,TRUE,FALSE,0.1,0.1,FALSE
267,TRUE,authoritarian,war,FALSE,0.1,FALSE,TRUE,FALSE,0.3,0.5,TRUE
268,TRUE,progressive,environment,FALSE,0.6,FALSE,FALSE,TRUE,0.6,0.2,FALSE
269,TRUE,anti_establishment,other,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.1,FALSE
270,TRUE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.5,FALSE
271,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.2,0.1,FALSE
272,,,,,,,,,,,
273,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,TRUE,0.6,0.2,FALSE
274,TRUE,progressive,race,FALSE,0.5,TRUE,TRUE,TRUE,0.4,0.2,FALSE
275,TRUE,progressive,environment,FALSE,0.5,FALSE,FALSE,TRUE,0.5,0.2,FALSE
276,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
277,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.3,0.3,FALSE
278,FALSE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.1,0.1,FALSE
