film_id,release_date,release_year,release_month,release_season,release_day_of_week,holiday_release,covid_era_release,theatrical_vs_digital,simultaneous_release,runtime_context
38,2012-07-20,2012,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
39,2019-10-04,2019,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
40,2019-06-21,2019,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
41,2019-12-20,2019,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
42,2010-06-18,2010,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
43,2006-07-07,2006,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
44,2024-11-27,2024,11,Fall,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
45,1993-06-11,1993,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
46,2016-12-16,2016,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
47,1999-05-19,1999,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
48,2011-05-20,2011,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
49,2019-05-24,2019,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
50,2025-06-20,2025,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
51,2017-06-30,2017,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
52,2010-03-05,2010,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
53,,, , , , , , , ,  
54,,, , , , , , , ,  
55,,, , , , , , , ,  
56,2008-07-18,2008,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
57,2022-06-10,2022,6,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
58,1994-06-24,1994,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
59,2023-07-21,2023,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
60,2013-07-03,2013,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
61,,, , , , , , , ,  
62,2001-11-16,2001,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
63,2017-12-20,2017,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
64,2007-05-25,2007,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
65,2013-12-13,2013,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
66,,, , , , , , , ,  
67,2022-05-06,2022,5,Spring,Friday,FALSE,TRUE,Cinema,FALSE,normal  
68,2016-04-15,2016,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
69,2010-11-19,2010,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
70,2014-12-19,2014,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
71,2022-07-01,2022,7,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
72,2007-07-11,2007,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
73,2003-05-30,2003,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
74,2004-05-19,2004,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
75,2009-07-15,2009,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
76,2002-12-18,2002,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
77,2005-05-19,2005,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
78,2007-05-04,2007,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
79,2001-12-19,2001,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
80,2009-07-01,2009,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
81,2016-07-08,2016,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
82,2005-11-18,2005,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
83,2012-07-13,2012,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
84,2018-10-24,2018,10,Fall,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
85,2015-10-23,2015,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
86,2017-07-07,2017,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
87,2002-11-15,2002,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
88,2016-03-25,2016,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
89,2017-05-05,2017,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
90,,, , , , , , , ,  
91,2013-11-22,2013,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
92,2022-11-11,2022,11,Fall,Friday,FALSE,TRUE,Cinema,FALSE,normal  
93,2018-10-05,2018,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
94,2017-11-03,2017,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
95,2015-06-19,2015,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
96,2023-05-05,2023,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
97,2021-02-12,2021,2,Winter,Friday,FALSE,TRUE,Cinema,FALSE,normal  
98,2009-06-24,2009,6,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
99,2012-11-16,2012,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
100,2010-07-16,2010,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
101,2002-05-03,2002,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
102,2017-06-02,2017,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
103,1996-07-03,1996,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
104,2016-11-18,2016,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
105,2017-07-27,2017,7,Summer,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
106,2021-09-30,2021,9,Fall,Thursday,FALSE,TRUE,Cinema,FALSE,normal  
107,2007-05-18,2007,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
108,1982-06-11,1982,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
109,2004-06-30,2004,6,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
110,2017-11-22,2017,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
111,2017-05-26,2017,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
112,2019-12-13,2019,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
113,2013-05-24,2013,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
114,2008-05-22,2008,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
115,2018-07-27,2018,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
116,2018-05-18,2018,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
117,2004-06-04,2004,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
118,2016-02-12,2016,2,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
119,1977-05-25,1977,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
120,2022-03-04,2022,3,Spring,Friday,FALSE,TRUE,Cinema,FALSE,normal  
121,2014-08-01,2014,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
122,2006-05-19,2006,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
123,2014-11-21,2014,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
124,2022-07-08,2022,7,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
125,2019-08-02,2019,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
126,2021-10-08,2021,10,Fall,Friday,FALSE,TRUE,Hybrid,FALSE,normal  
127,2012-07-03,2012,7,Summer,Tuesday,FALSE,FALSE,Cinema,FALSE,normal  
128,2014-05-30,2014,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
129,2009-11-13,2009,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
130,2010-05-21,2010,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
131,2024-11-15,2024,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
132,2016-08-05,2016,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
133,2014-05-23,2014,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
134,2012-06-08,2012,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
135,2013-06-21,2013,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
136,2019-07-26,2019,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
137,2003-05-15,2003,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
138,2009-05-29,2009,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
139,2024-07-05,2024,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
140,2005-12-09,2005,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
141,2021-06-25,2021,6,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
142,2024-11-01,2024,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
143,2014-04-04,2014,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
144,2023-08-25,2023,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
145,2014-05-30,2014,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
146,2014-05-02,2014,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
147,2007-07-03,2007,7,Summer,Tuesday,FALSE,FALSE,Cinema,FALSE,normal  
148,2010-06-30,2010,6,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
149,2017-09-08,2017,9,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
150,2011-12-21,2011,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
151,2023-06-02,2023,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
152,2015-07-31,2015,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
153,2009-11-20,2009,11,Fall,Friday,TRUE,FALSE,Cinema,FALSE,normal  
154,2013-10-04,2013,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
155,2016-11-23,2016,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
156,2011-11-18,2011,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
157,1994-07-06,1994,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
158,2012-03-23,2012,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
159,2016-11-04,2016,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
160,1999-08-06,1999,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
161,2013-06-14,2013,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
162,2011-05-26,2011,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
163,2017-11-17,2017,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
164,2002-05-16,2002,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
165,2018-11-16,2018,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
166,2003-07-09,2003,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
167,2012-05-25,2012,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
168,2015-10-02,2015,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
169,2006-07-14,2006,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
170,2014-11-07,2014,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
171,2015-11-20,2015,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
172,2013-11-08,2013,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
173,2014-11-07,2014,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
174,,, , , , , , , ,  
175,,, , , , , , , ,  
176,2023-12-15,2023,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
177,2008-06-06,2008,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
178,2004-11-05,2004,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
179,2016-12-21,2016,12,Winter,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
180,2011-04-29,2011,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
181,,, , , , , , , ,  
182,2007-06-29,2007,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
183,2008-07-18,2008,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
184,2018-07-06,2018,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
185,2004-02-25,2004,2,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
186,2010-05-07,2010,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
187,2012-11-21,2012,11,Fall,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
188,1997-05-23,1997,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
189,,, , , , , , , ,  
190,2014-11-14,2014,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
191,2017-03-03,2017,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
192,2019-02-05,2019,2,Winter,Tuesday,FALSE,FALSE,Cinema,FALSE,normal  
193,2005-06-29,2005,6,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
194,2017-06-21,2017,6,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
195,2008-11-07,2008,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
196,2006-11-17,2006,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
197,2008-10-31,2008,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
198,,, , , , , , , ,  
199,1997-07-02,1997,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
200,2011-08-12,2011,8,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
201,2007-12-14,2007,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
202,2008-05-02,2008,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
203,2018-03-29,2018,3,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
204,2010-11-24,2010,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
205,2023-01-22,2023,1,Winter,Sunday,TRUE,FALSE,Cinema,FALSE,normal  
206,2008-07-18,2008,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
207,2006-12-22,2006,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
208,2013-03-22,2013,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
209,2024-03-29,2024,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
210,2017-03-10,2017,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
211,2015-02-13,2015,2,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
212,2021-02-12,2021,2,Winter,Friday,TRUE,TRUE,Cinema,FALSE,normal  
213,2023-05-26,2023,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
214,2023-07-12,2023,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
215,2011-07-29,2011,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
216,2001-11-02,2001,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
217,2011-06-24,2011,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
218,2005-12-14,2005,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
219,2005-05-27,2005,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
220,2012-06-29,2012,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
221,2004-05-28,2004,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
222,2011-10-28,2011,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
223,2012-06-22,2012,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
224,1998-07-01,1998,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
225,2000-05-24,2000,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
226,1980-05-21,1980,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
227,2024-03-8,2024,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
228,2014-12-25,2014,12,Winter,Thursday,TRUE,FALSE,Cinema,FALSE,normal  
229,2010-07-09,2010,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
230,2018-02-16,2018,2,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
231,2016-05-27,2016,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
232,2015-03-13,2015,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
233,2011-12-16,2011,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
234,2015-12-25,2015,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
235,2008-06-27,2008,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
236,2013-06-21,2013,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
237,2018-11-21,2018,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
238,2018-08-10,2018,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
239,2014-05-16,2014,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
240,2017-07-21,2017,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
241,2017-03-31,2017,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
242,2018-07-13,2018,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
243,2007-07-27,2007,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
244,2016-02-08,2016,2,Winter,Monday,TRUE,FALSE,Cinema,FALSE,normal  
245,,, , , , , , , ,  
246,2019-02-22,2019,2,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
247,2016-01-29,2016,1,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
248,2015-07-17,2015,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
249,1990-07-13,1990,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
250,2023-01-22,2023,1,Winter,Sunday,TRUE,FALSE,Cinema,FALSE,normal  
251,2004-12-22,2004,12,Winter,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
252,2022-02-01,2022,2,Winter,Tuesday,TRUE,TRUE,Cinema,FALSE,normal  
253,1991-07-03,1991,7,Summer,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
254,2018-11-09,2018,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
255,2020-10-16,2020,10,Fall,Friday,FALSE,TRUE,Cinema,FALSE,normal  
256,1999-11-24,1999,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
257,2023-08-08,2023,8,Summer,Tuesday,FALSE,FALSE,Cinema,FALSE,normal  
258,2016-12-09,2016,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
259,1992-11-25,1992,11,Fall,Wednesday,TRUE,FALSE,Cinema,FALSE,normal  
260,2021-10-01,2021,10,Fall,Friday,FALSE,TRUE,Cinema,FALSE,normal  
261,1996-05-10,1996,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
262,2009-12-25,2009,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
263,1975-06-20,1975,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
264,2012-11-02,2012,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
265,2010-03-26,2010,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
266,2010-04-02,2010,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
267,2018-02-16,2018,2,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
268,2014-04-11,2014,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
269,2001-05-18,2001,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
270,2009-05-15,2009,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
271,2013-03-08,2013,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
272,2024-12-20,2024,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
273,2017-07-14,2017,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
274,2019-10-18,2019,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
275,2011-04-15,2011,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
276,2005-06-10,2005,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
277,1998-07-24,1998,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
278,2014-08-08,2014,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
279,2023-06-16,2023,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
280,2011-11-02,2011,11,Fall,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
281,2003-05-23,2003,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
282,2022-12-21,2022,12,Winter,Wednesday,TRUE,TRUE,Cinema,FALSE,normal  
283,2004-05-14,2004,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
284,1983-05-25,1983,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
285,1990-11-16,1990,11,Fall,Friday,TRUE,FALSE,Cinema,FALSE,normal  
286,2023-02-17,2023,2,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
287,2005-07-15,2005,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
288,2015-09-25,2015,9,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
289,2015-05-29,2015,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
290,2024-10-25,2024,10,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
291,1989-05-24,1989,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
292,,, , , , , , , ,  
293,2019-09-06,2019,9,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
294,2011-08-05,2011,8,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
295,2021-03-31,2021,3,Spring,Wednesday,FALSE,TRUE,Hybrid,TRUE,normal  
296,2014-02-07,2014,2,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
297,2013-05-16,2013,5,Spring,Thursday,FALSE,FALSE,Cinema,FALSE,normal  
298,1999-03-31,1999,3,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
299,2009-06-05,2009,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
300,2018-12-21,2018,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
301,2006-06-09,2006,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
302,2024-11-22,2024,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
303,2022-07-29,2022,7,Summer,Friday,FALSE,TRUE,Cinema,FALSE,normal  
304,2006-05-26,2006,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
305,1996-05-22,1996,5,Spring,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
306,2014-07-25,2014,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
307,2007-12-21,2007,12,Winter,Friday,TRUE,FALSE,Cinema,FALSE,normal  
