film_id,audience_rating_mean,critic_rating_mean,rating_gap,review_count,social_sentiment_score,trending_duration_days,primary_source,platform_coverage_count,peak_popularity_date
30,7.8,8.1,-0.3,1200000,0.60,90,IMDb,5,2016-05-06
31,6.8,6.6,0.2,900000,0.30,60,IMDb,5,2018-12-21
32,7.4,7.7,-0.3,900000,0.50,60,IMDb,5,2019-07-02
33,6.3,6.8,-0.5,900000,0.10,60,IMDb,5,2019-03-08
34,9.0,9.4,-0.4,2000000,0.90,150,IMDb,5,2003-12-17
35,6.2,6.0,0.2,700000,0.20,45,IMDb,5,2011-06-29
36,7.7,8.2,-0.5,1000000,0.60,90,IMDb,5,2012-11-09
37,5.7,5.6,0.1,600000,0.00,45,IMDb,5,2014-06-27
38,8.4,8.7,-0.3,1700000,0.60,120,IMDb,5,2012-07-20
39,8.4,7.8,0.6,1700000,0.30,90,IMDb,5,2019-10-04
40,7.7,8.3,-0.6,700000,0.50,60,IMDb,5,2019-06-21
41,6.3,5.8,0.5,900000,0.00,45,IMDb,5,2019-12-20
42,8.3,8.9,-0.6,1200000,0.70,120,IMDb,5,2010-06-18
43,7.4,6.5,0.9,1200000,0.40,90,IMDb,5,2006-07-07
44,7.2,6.8,0.4,400000,0.40,60,IMDb,5,2024-11-27
45,8.6,9.1,-0.5,1600000,0.80,150,IMDb,5,1993-06-11
46,7.9,8.4,-0.5,1000000,0.50,90,IMDb,5,2016-12-16
47,6.5,6.6,-0.1,1200000,0.00,90,IMDb,5,1999-05-19
48,6.6,5.5,1.1,900000,0.10,45,IMDb,5,2011-05-20
49,7.0,6.6,0.4,900000,0.30,60,IMDb,5,2019-05-24
50,,,,,,,,,
51,6.3,6.0,0.3,500000,0.20,45,IMDb,5,2017-06-30
52,6.4,6.2,0.2,800000,0.15,60,IMDb,5,2010-03-05
53,7.3,7.7,-0.4,900000,0.50,80,IMDb,5,2016-06-17
54,8.0,8.8,-0.8,1000000,0.70,120,IMDb,5,2016-03-04
55,7.8,7.4,0.4,900000,0.45,90,IMDb,5,2012-12-14
56,9.0,9.4,-0.4,2500000,0.90,180,IMDb,5,2008-07-18
57,5.7,5.3,0.4,600000,0.05,45,IMDb,5,2022-06-10
58,8.9,8.8,0.1,2000000,0.85,150,IMDb,5,1994-06-24
59,8.4,9.0,-0.6,1200000,0.70,150,IMDb,5,2023-07-21
60,7.4,7.9,-0.5,800000,0.60,90,IMDb,5,2013-07-03
61,6.6,6.8,-0.2,400000,0.30,60,IMDb,5,2024-07-03
62,7.6,7.7,-0.1,1600000,0.60,120,IMDb,5,2001-11-16
63,6.9,7.0,-0.1,900000,0.45,90,IMDb,5,2017-12-20
64,7.1,6.6,0.5,1100000,0.40,90,IMDb,5,2007-05-25
65,7.8,7.9,-0.1,800000,0.50,80,IMDb,5,2013-12-13
66,,,,,,,,,
67,7.0,6.8,0.2,900000,0.40,60,IMDb,5,2022-05-06
68,7.4,7.8,-0.4,1000000,0.55,90,IMDb,5,2016-04-15
69,7.8,8.1,-0.3,1200000,0.50,100,IMDb,5,2010-11-19
70,7.4,7.6,-0.2,900000,0.45,80,IMDb,5,2014-12-17
71,6.5,6.6,-0.1,700000,0.30,45,IMDb,5,2022-07-01
72,7.5,7.9,-0.4,1400000,0.50,100,IMDb,5,2007-07-11
73,8.1,8.6,-0.5,1600000,0.70,120,IMDb,5,2003-05-30
74,7.9,8.3,-0.4,1400000,0.75,120,IMDb,5,2004-05-19
75,7.6,7.8,-0.2,1100000,0.50,90,IMDb,5,2009-07-15
76,8.8,9.1,-0.3,1900000,0.85,150,IMDb,5,2002-12-18
77,7.6,7.9,-0.3,1300000,0.55,90,IMDb,5,2005-05-19
78,6.2,6.3,-0.1,1400000,0.20,60,IMDb,5,2007-05-04
79,8.8,9.0,-0.2,1900000,0.90,150,IMDb,5,2001-12-19
80,6.9,6.8,0.1,900000,0.35,60,IMDb,5,2009-07-01
81,6.5,6.8,-0.3,800000,0.40,60,IMDb,5,2016-07-08
82,7.7,7.8,-0.1,1400000,0.50,90,IMDb,5,2005-11-18
83,6.6,6.4,0.2,800000,0.20,45,IMDb,5,2012-07-13
84,8.0,6.0,2.0,1200000,0.60,120,IMDb,5,2018-11-02
85,6.8,6.6,0.2,900000,0.25,60,IMDb,5,2015-11-06
86,7.4,7.6,-0.2,1000000,0.55,80,IMDb,5,2017-07-07
87,7.4,7.6,-0.2,1500000,0.50,120,IMDb,5,2002-11-15
88,6.5,6.1,0.4,1600000,0.10,60,IMDb,5,2016-03-25
89,7.6,7.8,-0.2,1100000,0.55,90,IMDb,5,2017-05-05
90,,,,,,,,,
91,7.8,8.0,-0.2,1000000,0.50,80,IMDb,5,2013-11-22
92,6.7,6.8,-0.1,900000,0.30,60,IMDb,5,2022-11-11
93,6.6,5.8,0.8,1000000,0.25,70,IMDb,5,2018-10-05
94,7.9,8.2,-0.3,1200000,0.65,100,IMDb,5,2017-11-03
95,8.1,8.7,-0.6,1000000,0.70,120,IMDb,5,2015-06-19
96,8.2,8.3,-0.1,800000,0.60,90,IMDb,5,2023-05-05
97,7.8,8.1,-0.3,700000,0.55,90,IMDb,5,2021-02-12
98,6.0,5.9,0.1,1400000,0.15,60,IMDb,5,2009-06-24
99,5.8,5.5,0.3,1300000,0.00,45,IMDb,5,2012-11-16
100,8.8,8.8,0.0,2300000,0.80,150,IMDb,5,2010-07-16
101,7.4,7.3,0.1,1600000,0.55,120,IMDb,5,2002-05-03
102,7.3,7.6,-0.3,1100000,0.50,90,IMDb,5,2017-06-02
103,7.0,6.7,0.3,1000000,0.40,90,IMDb,5,1996-07-03
104,7.2,7.4,-0.2,900000,0.45,80,IMDb,5,2016-11-18
105,6.8,6.5,0.3,600000,0.35,80,IMDb,5,2017-07-27
106,7.2,6.9,0.3,500000,0.40,70,IMDb,5,2021-09-30
107,6.1,4.5,1.6,900000,0.15,60,IMDb,5,2007-05-18
108,7.9,9.0,-1.1,1600000,0.85,150,IMDb,5,1982-06-11
109,8.2,8.7,-0.5,1700000,0.75,150,IMDb,5,2004-06-30
110,8.4,8.5,-0.1,1200000,0.80,120,IMDb,5,2017-11-22
111,6.5,5.5,1.0,800000,0.25,60,IMDb,5,2017-05-26
112,6.8,6.7,0.1,900000,0.45,80,IMDb,5,2019-12-13
113,7.0,7.1,-0.1,900000,0.40,70,IMDb,5,2013-05-24
114,6.2,5.5,0.7,1100000,0.10,60,IMDb,5,2008-05-22
115,8.0,8.3,-0.3,1000000,0.70,100,IMDb,5,2018-07-27
116,7.6,7.7,-0.1,900000,0.55,90,IMDb,5,2018-05-18
117,7.9,8.5,-0.6,1400000,0.65,120,IMDb,5,2004-06-04
118,8.0,8.3,-0.3,1200000,0.65,100,IMDb,5,2016-02-12
119,8.6,9.2,-0.6,2200000,0.90,180,IMDb,5,1977-05-25
120,7.8,8.3,-0.5,900000,0.60,100,IMDb,5,2022-03-04
121,8.0,8.1,-0.1,1000000,0.70,90,IMDb,5,2014-08-01
122,6.6,6.0,0.6,1100000,0.35,80,IMDb,5,2006-05-19
123,6.6,6.8,-0.2,900000,0.25,60,IMDb,5,2014-11-21
124,6.2,6.5,-0.3,700000,0.20,60,IMDb,5,2022-07-08
125,6.9,6.7,0.2,800000,0.40,70,IMDb,5,2019-08-02
126,7.3,7.8,-0.5,800000,0.55,80,IMDb,5,2021-10-08
127,7.0,7.1,-0.1,1200000,0.50,100,IMDb,5,2012-07-03
128,7.0,7.0,0.0,1000000,0.40,80,IMDb,5,2014-05-30
129,5.8,6.0,-0.2,900000,0.15,60,IMDb,5,2009-11-13
130,6.3,6.4,-0.1,800000,0.30,70,IMDb,5,2010-05-21
131,,,,,,,,,
132,5.9,6.1,-0.2,1300000,0.10,60,IMDb,5,2016-08-05
133,7.8,8.0,-0.2,1100000,0.60,90,IMDb,5,2014-05-23
134,6.8,7.0,-0.2,900000,0.45,70,IMDb,5,2012-06-08
135,7.3,7.5,-0.2,900000,0.50,80,IMDb,5,2013-06-21
136,8.5,7.8,0.7,600000,0.75,120,IMDb,5,2019-07-26
137,7.2,7.8,-0.6,1200000,0.40,90,IMDb,5,2003-05-15
138,8.3,8.7,-0.4,1400000,0.80,120,IMDb,5,2009-05-29
139,,,,,,,,,
140,7.1,7.6,-0.5,1100000,0.45,100,IMDb,5,2005-12-09
141,5.9,6.0,-0.1,900000,0.15,60,IMDb,5,2021-06-25
142,8.7,8.8,-0.1,700000,0.70,100,IMDb,5,2024-03-01
143,7.7,8.0,-0.3,1100000,0.60,100,IMDb,5,2014-04-04
144,6.0,5.8,0.2,700000,0.10,45,IMDb,5,2023-05-19
145,7.6,8.3,-0.7,1000000,0.65,100,IMDb,5,2014-07-11
146,6.5,6.6,-0.1,1000000,0.40,80,IMDb,5,2014-05-02
147,7.0,7.1,-0.1,1400000,0.50,100,IMDb,5,2007-07-03
148,6.2,5.7,0.5,1300000,0.10,60,IMDb,5,2010-06-30
149,7.3,7.4,-0.1,1100000,0.55,90,IMDb,5,2017-09-08
150,7.4,7.8,-0.4,1000000,0.60,90,IMDb,5,2011-12-16
151,8.9,8.8,0.1,900000,0.85,120,IMDb,5,2023-06-02
152,7.5,7.9,-0.4,800000,0.60,90,IMDb,5,2015-07-31
153,4.8,4.1,0.7,1300000,0.10,60,IMDb,5,2009-11-20
154,7.7,8.4,-0.7,1100000,0.65,100,IMDb,5,2013-10-04
155,7.6,8.0,-0.4,1000000,0.70,100,IMDb,5,2016-11-23
156,5.9,4.9,1.0,1200000,0.20,60,IMDb,5,2011-11-18
157,8.8,8.8,0.0,2200000,0.90,150,IMDb,5,1994-07-06
158,7.2,7.4,-0.2,1300000,0.50,90,IMDb,5,2012-03-23
159,7.5,7.8,-0.3,1100000,0.60,90,IMDb,5,2016-11-04
160,8.1,8.7,-0.6,1600000,0.75,120,IMDb,5,1999-08-06
161,7.0,7.1,-0.1,1200000,0.40,70,IMDb,5,2013-06-14
162,7.2,7.8,-0.6,900000,0.55,80,IMDb,5,2011-05-26
163,6.1,6.4,-0.3,1300000,0.20,60,IMDb,5,2017-11-17
164,6.7,6.8,-0.1,1200000,0.40,80,IMDb,5,2002-05-16
165,6.3,6.2,0.1,800000,0.25,60,IMDb,5,2018-11-16
166,8.0,8.3,-0.3,1500000,0.70,120,IMDb,5,2003-07-09
167,6.8,6.8,0.0,900000,0.40,70,IMDb,5,2012-05-25
168,8.0,8.1,-0.1,1000000,0.75,100,IMDb,5,2015-10-02
169,6.9,6.8,0.1,900000,0.40,60,IMDb,5,2006-03-31
170,7.8,8.0,-0.2,1000000,0.70,90,IMDb,5,2014-11-07
171,6.5,6.7,-0.2,1000000,0.30,60,IMDb,5,2015-11-20
172,6.8,7.0,-0.2,1200000,0.40,70,IMDb,5,2013-11-08
173,8.6,8.7,-0.1,1800000,0.85,120,IMDb,5,2014-11-07
174,,,,,,,,,
175,,,,,,,,,
176,7.2,7.5,-0.3,700000,0.55,90,IMDb,5,2023-12-15
177,7.6,7.9,-0.3,1200000,0.65,90,IMDb,5,2008-06-06
178,8.0,8.4,-0.4,1500000,0.80,100,IMDb,5,2004-11-05
179,7.1,7.0,0.1,900000,0.45,70,IMDb,5,2016-12-21
180,7.3,7.6,-0.3,1100000,0.50,80,IMDb,5,2011-04-29
181,,,,,,,,,
182,8.0,8.5,-0.5,1300000,0.75,120,IMDb,5,2007-06-29
183,6.4,6.1,0.3,1100000,0.30,70,IMDb,5,2008-07-02
184,7.0,7.1,-0.1,900000,0.40,70,IMDb,5,2018-07-06
185,7.1,6.3,0.8,800000,0.35,80,IMDb,5,2004-02-25
186,7.0,6.9,0.1,1200000,0.45,80,IMDb,5,2010-05-07
187,8.0,8.2,-0.2,1000000,0.70,100,IMDb,5,2012-11-21
188,6.6,6.4,0.2,900000,0.35,70,IMDb,5,1997-05-23
189,,,,,,,,,
190,7.8,8.0,-0.2,1000000,0.65,90,IMDb,5,2014-06-13
191,8.1,8.5,-0.4,1000000,0.70,100,IMDb,5,2017-03-03
192,6.4,6.9,-0.5,800000,0.40,70,IMDb,5,2019-02-05
193,6.5,6.9,-0.4,900000,0.40,70,IMDb,5,2005-06-29
194,5.2,5.6,-0.4,900000,0.10,45,IMDb,5,2017-06-21
195,6.6,6.7,-0.1,900000,0.40,70,IMDb,5,2008-11-07
196,8.0,8.1,-0.1,1200000,0.65,100,IMDb,5,2006-11-17
197,6.6,6.5,0.1,1000000,0.40,70,IMDb,5,2008-10-31
198,,,,,,,,,
199,7.3,7.6,-0.3,1300000,0.60,100,IMDb,5,1997-07-02
200,6.4,6.3,0.1,1100000,0.30,60,IMDb,5,2011-05-26
201,7.2,7.1,0.1,1100000,0.45,80,IMDb,5,2007-12-14
202,7.9,8.1,-0.2,1800000,0.70,120,IMDb,5,2008-05-02
203,7.5,7.4,0.1,900000,0.60,90,IMDb,5,2018-03-29
204,7.7,8.0,-0.3,1000000,0.65,100,IMDb,5,2010-11-24
205,7.3,7.5,-0.2,500000,0.50,80,IMDb,5,2023-01-22
206,6.5,5.5,1.0,900000,0.40,80,IMDb,5,2008-07-18
207,6.4,6.2,0.2,1000000,0.35,70,IMDb,5,2006-12-22
208,7.2,7.3,-0.1,800000,0.50,80,IMDb,5,2013-03-22
209,6.2,6.4,-0.2,700000,0.40,70,IMDb,5,2024-03-29
210,6.7,6.8,-0.1,1000000,0.45,80,IMDb,5,2017-03-10
211,4.1,4.6,-0.5,1200000,0.00,45,IMDb,5,2015-02-13
212,5.4,5.8,-0.4,600000,0.20,50,IMDb,5,2021-02-12
213,6.2,7.0,-0.8,700000,0.25,60,IMDb,5,2023-05-26
214,7.6,7.8,-0.2,700000,0.60,90,IMDb,5,2023-07-12
215,5.9,5.3,0.6,900000,0.25,60,IMDb,5,2011-07-29
216,8.1,8.6,-0.5,1600000,0.80,120,IMDb,5,2001-11-02
217,6.2,6.1,0.1,1000000,0.35,60,IMDb,5,2011-06-24
218,7.2,7.6,-0.4,1300000,0.55,100,IMDb,5,2005-12-14
219,6.9,6.9,0.0,1100000,0.50,90,IMDb,5,2005-05-27
220,7.0,6.9,0.1,1000000,0.45,80,IMDb,5,2012-06-29
221,6.4,6.5,-0.1,1100000,0.35,70,IMDb,5,2004-05-28
222,6.7,7.0,-0.3,900000,0.40,70,IMDb,5,2011-10-28
223,7.1,7.5,-0.4,900000,0.55,80,IMDb,5,2012-06-22
224,6.7,6.5,0.2,1300000,0.40,80,IMDb,5,1998-07-01
225,6.1,6.3,-0.2,1000000,0.35,70,IMDb,5,2000-05-24
226,8.7,9.0,-0.3,2000000,0.90,150,IMDb,5,1980-05-21
227,6.8,7.0,-0.2,700000,0.45,80,IMDb,5,2024-03-08
228,7.3,7.4,-0.1,1000000,0.55,90,IMDb,5,2014-12-25
229,7.6,7.7,-0.1,900000,0.60,90,IMDb,5,2010-07-09
230,6.3,6.5,-0.2,600000,0.40,60,IMDb,5,2018-02-16
231,6.8,7.0,-0.2,1000000,0.35,70,IMDb,5,2016-05-27
232,6.9,7.1,-0.2,800000,0.45,80,IMDb,5,2015-03-13
233,7.4,7.6,-0.2,900000,0.50,90,IMDb,5,2011-12-16
234,8.0,8.2,-0.2,1100000,0.70,100,IMDb,5,2015-01-08
235,8.4,8.8,-0.4,1600000,0.85,120,IMDb,5,2008-06-27
236,7.0,7.2,-0.2,1000000,0.50,80,IMDb,5,2013-06-21
237,7.0,7.3,-0.3,800000,0.45,80,IMDb,5,2018-11-21
238,5.6,5.3,0.3,800000,0.20,60,IMDb,5,2018-08-10
239,6.6,6.8,-0.2,900000,0.40,70,IMDb,5,2014-05-16
240,7.9,8.3,-0.4,1000000,0.70,100,IMDb,5,2017-07-21
241,6.3,6.2,0.1,800000,0.35,70,IMDb,5,2017-03-31
242,6.3,6.2,0.1,700000,0.35,60,IMDb,5,2018-07-13
243,7.3,7.5,-0.2,1200000,0.60,100,IMDb,5,2007-07-27
244,6.8,6.7,0.1,700000,0.45,80,IMDb,5,2016-02-08
245,,,,,,,,,
246,7.7,8.0,-0.3,900000,0.65,90,IMDb,5,2019-02-22
247,7.1,7.2,-0.1,900000,0.55,80,IMDb,5,2016-01-29
248,7.3,7.8,-0.5,1100000,0.60,90,IMDb,5,2015-07-17
249,7.1,7.7,-0.6,1300000,0.50,90,IMDb,5,1990-07-13
250,7.0,7.3,-0.3,600000,0.55,80,IMDb,5,2023-01-22
251,6.3,6.0,0.3,1000000,0.40,80,IMDb,5,2004-12-22
252,7.1,7.3,-0.2,500000,0.50,70,IMDb,5,2022-02-01
253,8.6,9.1,-0.5,1800000,0.90,150,IMDb,5,1991-07-03
254,6.3,6.0,0.3,800000,0.40,70,IMDb,5,2018-11-09
255,8.7,8.4,0.3,900000,0.80,120,IMDb,5,2020-10-16
256,8.0,8.6,-0.6,1400000,0.85,120,IMDb,5,1999-11-24
257,6.5,6.8,-0.3,600000,0.45,80,IMDb,5,2023-08-08
258,8.0,8.8,-0.8,1200000,0.75,100,IMDb,5,2016-12-09
259,8.0,8.5,-0.5,1500000,0.85,120,IMDb,5,1992-11-25
260,6.0,5.8,0.2,900000,0.25,60,IMDb,5,2021-10-01
261,6.4,6.6,-0.2,900000,0.35,70,IMDb,5,1996-05-10
262,7.6,7.8,-0.2,1000000,0.55,80,IMDb,5,2009-12-25
263,8.1,9.0,-0.9,1800000,0.85,150,IMDb,5,1975-06-20
264,7.7,7.9,-0.2,1000000,0.65,90,IMDb,5,2012-11-02
265,8.1,8.2,-0.1,1200000,0.80,100,IMDb,5,2010-03-26
266,5.8,5.0,0.8,800000,0.20,60,IMDb,5,2010-04-02
267,7.2,7.3,-0.1,700000,0.50,80,IMDb,5,2018-02-16
268,6.3,6.6,-0.3,800000,0.35,60,IMDb,5,2014-04-11
269,7.9,8.3,-0.4,1600000,0.80,120,IMDb,5,2001-05-18
270,6.7,6.8,-0.1,900000,0.40,70,IMDb,5,2009-05-15
271,6.3,6.0,0.3,700000,0.30,60,IMDb,5,2013-03-08
272,,,,,,,,,
273,7.3,7.9,-0.6,900000,0.65,90,IMDb,5,2017-07-14
274,6.5,6.7,-0.2,800000,0.35,60,IMDb,5,2019-10-18
275,6.9,7.1,-0.2,900000,0.55,80,IMDb,5,2011-04-15
276,6.4,6.5,-0.1,1000000,0.40,70,IMDb,5,2005-06-10
277,8.6,8.9,-0.3,1700000,0.90,150,IMDb,5,1998-07-24
278,5.8,5.7,0.1,1000000,0.25,60,IMDb,5,2014-08-08
279,7.0,7.3,-0.3,700000,0.55,80,IMDb,5,2023-06-16
280,8.5,8.6,-0.1,1200000,0.85,100,IMDb,5,2011-11-02
281,6.8,6.6,0.2,1100000,0.45,80,IMDb,5,2003-05-23
282,8.3,8.7,-0.4,900000,0.80,100,IMDb,5,2022-12-21
283,7.1,7.5,-0.4,1300000,0.55,100,IMDb,5,2004-05-14
284,8.3,8.9,-0.6,1900000,0.90,150,IMDb,5,1983-05-25
285,7.6,8.0,-0.4,1800000,0.85,120,IMDb,5,1990-11-16
286,6.1,6.4,-0.3,800000,0.25,60,IMDb,5,2023-02-17
287,6.6,7.0,-0.4,1100000,0.45,70,IMDb,5,2005-07-15
288,6.6,6.7,-0.1,900000,0.40,60,IMDb,5,2015-09-25
289,6.1,6.5,-0.4,1000000,0.35,70,IMDb,5,2015-05-29
290,,,,,,,,,
291,8.2,8.7,-0.5,1500000,0.85,120,IMDb,5,1989-05-24
292,,,,,,,,,
293,6.5,6.6,-0.1,900000,0.30,70,IMDb,5,2019-09-06
294,7.5,7.7,-0.2,1100000,0.60,90,IMDb,5,2011-08-05
295,6.3,6.6,-0.3,800000,0.40,70,IMDb,5,2021-03-31
296,7.7,8.2,-0.5,1000000,0.70,100,IMDb,5,2014-02-07
297,7.6,8.0,-0.4,1100000,0.65,90,IMDb,5,2013-05-16
298,8.7,8.8,-0.1,2000000,0.90,150,IMDb,5,1999-03-31
299,7.7,8.0,-0.3,1300000,0.75,100,IMDb,5,2009-06-05
300,7.0,7.1,-0.1,900000,0.55,80,IMDb,5,2018-12-21
301,7.1,7.5,-0.4,1100000,0.60,90,IMDb,5,2006-06-09
302,7.9,8.1,-0.2,400000,0.65,80,IMDb,5,2024-11-22
303,6.8,6.9,-0.1,600000,0.45,70,IMDb,5,2022-07-29
304,6.6,6.7,-0.1,1200000,0.40,70,IMDb,5,2006-05-26
305,7.2,7.6,-0.4,1300000,0.60,100,IMDb,5,1996-05-22
306,6.4,6.6,-0.2,1000000,0.35,70,IMDb,5,2014-07-25
307,6.5,6.9,-0.4,900000,0.45,70,IMDb,5,2007-12-21
308,7.8,8.0,-0.2,1100000,0.70,100,IMDb,5,2003-12-05
309,,,,,,,,,
310,7.7,7.8,-0.1,1300000,0.65,100,IMDb,5,2007-03-09
311,7.2,7.5,-0.3,500000,0.55,80,IMDb,5,2024-09-06
312,8.5,8.6,-0.1,1800000,0.85,150,IMDb,5,2000-05-05
313,8.0,8.2,-0.2,700000,0.75,90,IMDb,5,2018-07-06
314,7.7,8.0,-0.3,1400000,0.70,100,IMDb,5,2001-12-07
315,8.5,8.8,-0.3,1600000,0.85,120,IMDb,5,2012-12-25
316,7.0,7.3,-0.3,1200000,0.55,90,IMDb,5,2011-05-06
317,6.1,6.4,-0.3,1300000,0.35,70,IMDb,5,2001-05-25
318,7.3,7.8,-0.5,1100000,0.60,90,IMDb,5,1999-06-18
319,8.1,8.3,-0.2,900000,0.75,100,IMDb,5,2023-03-24
320,6.3,6.5,-0.2,800000,0.35,60,IMDb,5,2019-05-24
321,6.9,7.0,-0.1,700000,0.50,80,IMDb,5,2019-09-30
322,6.5,6.7,-0.2,600000,0.40,70,IMDb,5,2023-06-22
323,8.0,8.2,-0.2,1200000,0.70,100,IMDb,5,2007-08-03
324,4.5,4.7,-0.2,1000000,0.10,50,IMDb,5,2009-12-23
325,6.1,6.5,-0.4,1000000,0.35,70,IMDb,5,2002-07-03
326,7.1,7.8,-0.7,1400000,0.75,100,IMDb,5,1993-11-24
327,6.0,6.2,-0.2,700000,0.25,60,IMDb,5,2023-12-22
328,6.3,6.5,-0.2,800000,0.40,70,IMDb,5,2023-06-09
329,6.8,7.1,-0.3,900000,0.45,80,IMDb,5,2016-06-10
330,8.0,8.6,-0.6,1600000,0.85,120,IMDb,5,1991-11-13
331,7.2,7.4,-0.2,600000,0.55,80,IMDb,5,2020-08-21
332,7.7,8.0,-0.3,1200000,0.70,100,IMDb,5,2018-10-05
333,7.5,7.8,-0.3,1000000,0.60,90,IMDb,5,2012-12-25
334,6.4,6.6,-0.2,1100000,0.45,80,IMDb,5,2001-05-04
335,6.5,6.6,-0.1,900000,0.50,70,IMDb,5,2019-05-10
336,6.3,6.6,-0.3,1000000,0.40,70,IMDb,5,2003-07-02
337,7.0,7.4,-0.4,1300000,0.65,100,IMDb,5,1990-03-23
338,7.3,7.6,-0.3,1000000,0.60,80,IMDb,5,2021-09-03
339,6.3,6.5,-0.2,1000000,0.35,70,IMDb,5,2015-07-01
340,6.0,6.1,-0.1,900000,0.40,70,IMDb,5,2002-11-22
341,8.0,8.5,-0.5,1200000,0.80,100,IMDb,5,2010-12-25
342,6.8,7.0,-0.2,500000,0.55,70,IMDb,5,2024-02-10
343,8.0,8.4,-0.4,1000000,0.70,100,IMDb,5,2021-10-22
344,8.0,8.6,-0.6,1700000,0.85,150,IMDb,5,1973-12-26
345,8.0,7.6,0.4,1200000,0.75,100,IMDb,5,2017-12-20
346,6.1,6.0,0.1,900000,0.30,60,IMDb,5,2018-04-13
347,6.7,6.9,-0.2,1000000,0.45,80,IMDb,5,2003-11-05
348,7.8,8.1,-0.3,1500000,0.80,100,IMDb,5,2000-12-22
349,,,,,,,,,
350,6.5,6.6,-0.1,900000,0.50,70,IMDb,5,2020-01-17
351,8.0,8.4,-0.4,1000000,0.75,120,IMDb,5,1990-11-09
352,6.8,7.0,-0.2,400000,0.50,70,IMDb,5,2024-02-10
353,7.1,7.2,-0.1,1300000,0.55,90,IMDb,5,1999-05-07
354,6.3,6.5,-0.2,900000,0.35,70,IMDb,5,2010-12-10
355,6.5,6.6,-0.1,1000000,0.40,70,IMDb,5,2008-05-16
356,6.7,6.9,-0.2,1000000,0.45,80,IMDb,5,2013-07-26
357,6.6,6.7,-0.1,800000,0.40,70,IMDb,5,2016-07-29
358,5.5,5.6,-0.1,900000,0.20,60,IMDb,5,2008-05-30
359,,,,,,,,,
360,7.5,7.8,-0.3,1500000,0.65,100,IMDb,5,1989-06-23
361,8.0,8.5,-0.5,1200000,0.85,120,IMDb,5,1988-12-16
362,6.9,7.0,-0.1,1100000,0.55,80,IMDb,5,2013-07-12
363,6.7,6.5,0.2,1200000,0.60,90,IMDb,5,1992-11-25
364,5.5,5.4,0.1,1000000,0.25,60,IMDb,5,2017-06-09
365,6.7,6.9,-0.2,900000,0.45,70,IMDb,5,2017-09-22
366,6.8,7.2,-0.4,1000000,0.50,80,IMDb,5,2002-08-02
367,6.2,6.4,-0.2,700000,0.30,60,IMDb,5,2022-04-15
368,6.4,6.6,-0.2,900000,0.40,70,IMDb,5,2022-02-18
369,7.3,7.8,-0.5,1200000,0.60,90,IMDb,5,2003-05-02
370,5.2,5.3,-0.1,900000,0.15,60,IMDb,5,2008-08-01
371,7.7,7.8,-0.1,1200000,0.70,90,IMDb,5,2015-02-13
372,7.4,7.6,-0.2,900000,0.65,80,IMDb,5,2021-12-22
373,6.9,7.0,-0.1,900000,0.50,70,IMDb,5,2022-04-08
374,7.0,7.4,-0.4,1000000,0.45,80,IMDb,5,2012-06-08
